Команда,Дата,№ Game,Рейтинг,min Забито,max Забито,mean Забито,std Забито,median Забито,min Пропущено,max Пропущено,mean Пропущено,std Пропущено,median Пропущено,min Владение мячом,max Владение мячом,mean Владение мячом,std Владение мячом,median Владение мячом,min Удары,max Удары,mean Удары,std Удары,median Удары,min Удары в створ,max Удары в створ,mean Удары в створ,std Удары в створ,median Удары в створ,min Удары мимо,max Удары мимо,mean Удары мимо,std Удары мимо,median Удары мимо,min Блок-но ударов,max Блок-но ударов,mean Блок-но ударов,std Блок-но ударов,median Блок-но ударов,min Штрафные,max Штрафные,mean Штрафные,std Штрафные,median Штрафные,min Угловые,max Угловые,mean Угловые,std Угловые,median Угловые,min Офсайды,max Офсайды,mean Офсайды,std Офсайды,median Офсайды,min Сэйвы,max Сэйвы,mean Сэйвы,std Сэйвы,median Сэйвы,min Фолы,max Фолы,mean Фолы,std Фолы,median Фолы,min Желтые карточки,max Желтые карточки,mean Желтые карточки,std Желтые карточки,median Желтые карточки,min Красные карточки,max Красные карточки,mean Красные карточки,std Красные карточки,median Красные карточки,min Всего передач,max Всего передач,mean Всего передач,std Всего передач,median Всего передач,min Вбрасывания,max Вбрасывания,mean Вбрасывания,std Вбрасывания,median Вбрасывания,min Рейтинг,max Рейтинг,mean Рейтинг,std Рейтинг,median Рейтинг
Манчестер Юнайтед,2015-12-19 20:00:00,17,2666.530737701417,0.0,2.0,0.875,0.8345229603962802,1.0,0.0,2.0,0.75,0.8864052604279183,0.5,56.0,70.0,62.375,6.186101934405635,61.0,5.0,21.0,11.25,4.920801328471382,11.0,1.0,6.0,2.625,1.9226098333849673,2.0,2.0,10.0,4.625,2.615202805574687,4.5,2.0,10.0,4.0,2.6186146828319083,3.0,8.0,14.0,11.125,2.416461403433896,12.0,3.0,11.0,7.0,2.6186146828319083,6.5,0.0,5.0,1.75,1.4880476182856899,1.5,0.0,5.0,2.375,1.5979898086569353,2.0,4.0,17.0,10.875,4.189698250300543,11.5,0.0,3.0,1.375,0.9161253813129043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2389.012241027324,2740.7938353755417,2590.0219358206286,132.59376222892988,2602.695191211794
Манчестер Юнайтед,2015-12-26 17:45:00,18,2237.5274133899757,0.0,2.0,0.875,0.8345229603962802,1.0,0.0,2.0,1.0,0.9258200997725514,1.0,56.0,70.0,62.25,6.273527146441853,60.5,5.0,21.0,11.875,4.454131308603925,11.0,1.0,6.0,3.25,2.1213203435596424,2.5,2.0,10.0,4.75,2.49284690951645,4.5,2.0,10.0,3.875,2.6958963523950885,3.0,8.0,18.0,11.75,3.4121631178560534,12.0,3.0,12.0,7.75,3.1052950170405937,7.5,1.0,5.0,1.875,1.3562026818605375,1.5,0.0,5.0,2.375,1.5979898086569353,2.0,4.0,16.0,10.75,3.9910614413425693,11.5,0.0,3.0,1.375,0.9161253813129043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2463.0908762011386,2740.7938353755417,2624.7117479048907,106.15983592069287,2665.9975096666094
Манчестер Юнайтед,2015-12-28 22:30:00,19,2182.378583125869,0.0,2.0,0.875,0.8345229603962802,1.0,0.0,2.0,1.0,0.9258200997725514,1.0,56.0,70.0,63.625,5.902481318419036,65.0,10.0,21.0,12.75,3.494894235064305,11.5,1.0,6.0,3.375,1.9955307206712847,2.5,3.0,10.0,5.125,2.2320714274285347,5.0,2.0,10.0,4.25,2.6049403612586386,3.5,6.0,18.0,11.0,3.9641248358604595,10.5,5.0,12.0,8.0,2.7255405754769875,7.5,1.0,5.0,2.0,1.3093073414159542,2.0,0.0,4.0,2.125,1.246423454758225,2.0,4.0,16.0,10.875,4.155461122770509,11.5,0.0,4.0,1.5,1.1952286093343936,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2237.5274133899757,2740.7938353755417,2596.5163150534954,167.46851243187498,2665.9975096666094
Манчестер Юнайтед,2016-01-02 20:00:00,20,2217.977737944054,0.0,2.0,0.875,0.8345229603962802,1.0,0.0,2.0,1.125,0.8345229603962802,1.0,54.0,70.0,61.75,6.3189058727418494,60.5,10.0,21.0,13.5,4.140393356054125,11.5,1.0,6.0,3.75,2.187627547301936,3.5,3.0,10.0,5.125,2.2320714274285347,5.0,2.0,10.0,4.625,2.9246489410818914,3.5,6.0,18.0,11.25,3.882193783343198,11.5,4.0,12.0,7.875,2.9001231500945415,7.5,1.0,5.0,2.0,1.3093073414159542,2.0,1.0,4.0,2.5,0.9258200997725514,2.5,4.0,16.0,11.25,4.301162633521313,12.0,0.0,4.0,1.625,1.1877349391654208,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2182.378583125869,2740.7938353755417,2556.2898993932645,222.44116336046324,2665.9975096666094
Манчестер Юнайтед,2016-01-13 00:45:00,21,2070.7056284430964,0.0,3.0,1.0,1.0690449676496976,1.0,0.0,3.0,1.375,1.0606601717798212,1.5,46.0,70.0,60.5,8.298020417975776,60.5,10.0,21.0,13.375,4.172614801981401,11.5,1.0,6.0,3.5,2.0,3.0,3.0,10.0,5.0,2.2677868380553634,4.5,2.0,10.0,4.875,2.748376143938713,4.0,6.0,18.0,11.875,3.6815175442433286,12.5,3.0,12.0,7.0,3.2071349029490928,6.5,1.0,2.0,1.5,0.5345224838248488,1.5,1.0,3.0,2.375,0.7440238091428449,2.5,4.0,16.0,11.25,4.301162633521313,12.0,0.0,4.0,1.75,1.2817398889233114,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2182.378583125869,2740.7938353755417,2516.046354037298,252.86684786303732,2665.9975096666094
Манчестер Юнайтед,2016-01-17 19:05:00,22,1916.2679025735872,0.0,3.0,1.0,1.0690449676496976,1.0,0.0,3.0,1.25,1.164964745021435,1.5,46.0,70.0,57.75,8.713700214522612,57.5,7.0,21.0,13.0,4.6291004988627575,11.5,1.0,6.0,3.375,2.1339098923270936,3.0,3.0,10.0,5.125,2.2320714274285347,5.0,1.0,10.0,4.5,3.070597894314954,3.5,6.0,18.0,12.0,3.5456210417116734,12.5,3.0,12.0,6.5,3.3380918415851206,5.5,0.0,2.0,1.375,0.7440238091428449,1.5,1.0,4.0,2.625,0.9161253813129043,3.0,4.0,18.0,12.625,4.50198368975912,13.0,0.0,4.0,1.875,1.246423454758225,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2070.7056284430964,2740.7938353755417,2436.5729798294788,282.62088246198005,2451.495847510889
Манчестер Юнайтед,2016-01-23 20:00:00,23,2029.1142588784378,0.0,3.0,1.0,1.0690449676496976,1.0,0.0,3.0,1.375,1.0606601717798212,1.5,46.0,70.0,56.875,8.458934414485753,56.5,7.0,19.0,11.375,3.583194903195431,11.0,1.0,6.0,3.375,2.1339098923270936,3.0,3.0,6.0,4.5,1.0690449676496976,5.0,1.0,8.0,3.5,2.2038926600773587,3.0,6.0,18.0,11.25,3.693623849670827,11.5,3.0,12.0,6.25,3.453776401067595,4.5,0.0,2.0,1.375,0.7440238091428449,1.5,1.0,4.0,2.5,1.0690449676496976,3.0,4.0,18.0,12.875,4.323936698360485,13.0,0.0,4.0,1.75,1.3887301496588271,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916.2679025735872,2740.7938353755417,2337.2057650231677,310.62735626170405,2227.7525756670148
Манчестер Юнайтед,2016-02-03 01:00:00,24,1950.2465522525442,0.0,3.0,1.25,1.2817398889233114,1.0,0.0,3.0,1.125,1.1259916264596033,1.0,46.0,70.0,55.625,9.148575220843329,55.0,7.0,19.0,11.875,3.7961446607992015,11.5,1.0,6.0,3.375,2.1339098923270936,3.0,3.0,6.0,4.75,0.8864052604279183,5.0,1.0,8.0,3.75,2.2519832529192065,3.5,6.0,18.0,11.375,3.77728171346236,11.5,2.0,12.0,5.625,3.7392703642746747,4.0,0.0,3.0,1.5,0.9258200997725514,1.5,0.0,4.0,2.125,1.3562026818605375,2.5,4.0,18.0,13.0,4.3094580368566735,13.5,0.0,4.0,1.875,1.3562026818605375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916.2679025735872,2666.530737701417,2248.24581796103,278.8116490147676,2200.1781605349615
Манчестер Юнайтед,2016-02-07 21:00:00,25,2055.911565402303,0.0,3.0,1.25,1.2817398889233114,1.0,0.0,3.0,1.0,1.0690449676496976,1.0,46.0,67.0,53.25,7.126409634992524,52.5,7.0,19.0,12.625,4.172614801981401,12.0,1.0,7.0,4.0,2.390457218668787,4.5,3.0,6.0,4.75,0.8864052604279183,5.0,1.0,8.0,3.875,2.2320714274285347,4.0,6.0,18.0,10.75,4.06201920231798,10.0,2.0,12.0,5.625,3.7392703642746747,4.0,0.0,3.0,1.375,0.9161253813129043,1.0,0.0,4.0,2.375,1.5059406173077154,3.0,9.0,18.0,13.625,2.9730936268953445,13.5,0.0,4.0,2.25,1.164964745021435,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916.2679025735872,2666.530737701417,2158.843601788623,237.52949148234575,2126.542105784483
Манчестер Юнайтед,2016-02-13 17:45:00,26,2148.628952329279,0.0,3.0,1.375,1.1877349391654208,1.0,0.0,3.0,1.0,1.0690449676496976,1.0,46.0,67.0,54.25,8.345229603962801,52.5,7.0,19.0,12.75,4.131758532565592,12.0,1.0,7.0,4.0,2.390457218668787,4.5,1.0,6.0,4.5,1.5118578920369088,5.0,1.0,8.0,4.25,2.1213203435596424,4.5,6.0,14.0,9.5,2.878491668515698,8.5,2.0,11.0,5.125,2.948970764763288,4.0,0.0,6.0,2.0,1.8516401995451028,1.5,0.0,4.0,2.5,1.4142135623730951,3.0,9.0,18.0,13.5,2.878491668515698,13.5,0.0,4.0,2.375,1.1877349391654208,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916.2679025735872,2237.5274133899757,2082.5162052512333,120.22812822352354,2063.3085969226995
