Команда,Дата,№ Game,Рейтинг,min Забито,max Забито,mean Забито,std Забито,median Забито,min Пропущено,max Пропущено,mean Пропущено,std Пропущено,median Пропущено,min Владение мячом,max Владение мячом,mean Владение мячом,std Владение мячом,median Владение мячом,min Удары,max Удары,mean Удары,std Удары,median Удары,min Удары в створ,max Удары в створ,mean Удары в створ,std Удары в створ,median Удары в створ,min Удары мимо,max Удары мимо,mean Удары мимо,std Удары мимо,median Удары мимо,min Блок-но ударов,max Блок-но ударов,mean Блок-но ударов,std Блок-но ударов,median Блок-но ударов,min Штрафные,max Штрафные,mean Штрафные,std Штрафные,median Штрафные,min Угловые,max Угловые,mean Угловые,std Угловые,median Угловые,min Офсайды,max Офсайды,mean Офсайды,std Офсайды,median Офсайды,min Сэйвы,max Сэйвы,mean Сэйвы,std Сэйвы,median Сэйвы,min Фолы,max Фолы,mean Фолы,std Фолы,median Фолы,min Красные карточки,max Красные карточки,mean Красные карточки,std Красные карточки,median Красные карточки,min Желтые карточки,max Желтые карточки,mean Желтые карточки,std Желтые карточки,median Желтые карточки,min Всего передач,max Всего передач,mean Всего передач,std Всего передач,median Всего передач,min Oтборы,max Oтборы,mean Oтборы,std Oтборы,median Oтборы,min Вбрасывания,max Вбрасывания,mean Вбрасывания,std Вбрасывания,median Вбрасывания,min Точность передач,max Точность передач,mean Точность передач,std Точность передач,median Точность передач,min Рейтинг,max Рейтинг,mean Рейтинг,std Рейтинг,median Рейтинг
Арсенал,2016-12-18 21:00:00,17,2591.947796220251,1.0,5.0,2.375,1.5979898086569353,2.0,1.0,2.0,1.25,0.4629100498862757,1.0,39.0,66.0,53.75,9.01981944703678,53.5,5.0,21.0,14.0,6.524678426668135,15.5,1.0,10.0,4.125,3.226563851175781,3.0,3.0,12.0,6.875,2.6958963523950885,6.5,0.0,8.0,3.0,2.878491668515698,2.5,9.0,18.0,13.875,3.6425069859723185,14.0,1.0,8.0,4.375,2.615202805574687,3.5,0.0,7.0,2.125,2.1671244937540095,1.5,0.0,4.0,2.375,1.3024701806293193,2.0,9.0,13.0,11.25,1.3887301496588271,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.1952286093343936,2.5,0.0,540.0,181.5,254.3653165935055,0.0,0.0,19.0,6.0,8.434622525214577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2524.7864250383027,2679.974164205576,2584.473889985007,47.9305972013986,2582.5263161611824
Арсенал,2016-12-26 20:00:00,18,2516.423007067824,1.0,5.0,2.0,1.5118578920369088,1.0,0.0,2.0,1.125,0.6408699444616557,1.0,39.0,76.0,55.0,11.35152601446796,53.5,5.0,26.0,14.625,7.46300399111702,15.5,1.0,11.0,4.625,3.9618718519695424,3.0,3.0,9.0,6.375,1.8468119248354136,6.5,0.0,8.0,3.625,3.1594529363709247,3.5,9.0,18.0,13.375,3.7392703642746747,12.0,1.0,7.0,4.125,2.295181287579947,3.5,0.0,7.0,2.125,2.1671244937540095,1.5,1.0,4.0,2.5,1.0690449676496976,2.0,9.0,13.0,11.0,1.1952286093343936,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.1952286093343936,2.5,0.0,817.0,283.625,325.2238514799131,194.5,0.0,19.0,8.0,8.70139561876632,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2524.7864250383027,2679.974164205576,2591.215936291107,44.10191479977711,2588.5940456666717
Арсенал,2017-01-01 21:00:00,19,2547.367618902289,1.0,5.0,2.125,1.4577379737113252,1.5,0.0,2.0,1.0,0.7559289460184544,1.0,39.0,76.0,57.25,11.093756287724576,56.5,5.0,26.0,15.5,7.91021039994693,17.5,1.0,11.0,5.25,3.882193783343198,4.5,3.0,8.0,5.875,1.5526475085202969,6.0,0.0,10.0,4.375,3.8890872965260113,4.5,9.0,18.0,12.375,3.3779748793788102,11.0,1.0,8.0,4.25,2.49284690951645,3.5,0.0,3.0,1.5,0.9258200997725514,1.5,1.0,4.0,2.75,1.164964745021435,2.5,9.0,13.0,10.75,1.3887301496588271,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.1952286093343936,2.5,0.0,817.0,363.5,324.0815593995702,456.0,0.0,26.0,11.25,10.039208847599213,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516.423007067824,2679.974164205576,2580.8623660076946,51.11149122334717,2582.5263161611824
Арсенал,2017-01-04 00:45:00,20,2609.1650820456234,1.0,5.0,2.375,1.407885953173359,2.5,0.0,3.0,1.25,1.0350983390135313,1.0,39.0,76.0,57.875,11.08973141501375,59.0,6.0,26.0,16.625,6.759913355319621,17.5,1.0,11.0,5.625,3.543101950067402,5.0,5.0,8.0,6.125,1.1259916264596033,6.0,0.0,10.0,4.875,3.6425069859723185,5.5,9.0,17.0,11.625,2.5035688811888406,11.0,1.0,8.0,4.625,2.669269563007828,4.5,1.0,3.0,1.875,0.8345229603962802,2.0,1.0,4.0,2.625,1.0606601717798212,2.5,9.0,13.0,10.875,1.4577379737113252,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.1952286093343936,2.5,0.0,817.0,434.875,294.0774618555944,531.5,0.0,26.0,13.25,9.01981944703678,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516.423007067824,2679.974164205576,2576.128281481344,52.38610927594972,2570.9100664774255
Арсенал,2017-01-14 20:00:00,21,2542.0636986192267,1.0,5.0,2.5,1.5118578920369088,2.5,0.0,3.0,1.125,1.1259916264596033,1.0,39.0,76.0,58.5,10.8496214548843,59.0,6.0,26.0,16.375,6.823017765517794,16.5,1.0,11.0,6.0,3.3806170189140663,6.0,2.0,8.0,5.5,1.7728105208558367,5.5,0.0,10.0,4.875,3.6425069859723185,5.5,9.0,14.0,11.25,1.6690459207925603,11.0,1.0,8.0,4.5,2.7774602993176543,4.5,0.0,3.0,1.75,1.0350983390135313,2.0,1.0,4.0,2.75,1.0350983390135313,3.0,8.0,13.0,10.375,1.685018016012207,10.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.625,1.3024701806293193,1.5,0.0,817.0,510.625,238.93629605279432,555.5,0.0,26.0,15.375,7.2886898685566255,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516.423007067824,2679.974164205576,2579.797374585888,53.69263195893189,2576.977795982915
Арсенал,2017-01-22 19:15:00,22,2537.1917047412057,1.0,4.0,2.125,1.1259916264596033,2.0,0.0,3.0,1.125,1.1259916264596033,1.0,39.0,76.0,61.0,10.915257997081753,62.0,6.0,26.0,17.0,7.309485031694876,17.5,1.0,11.0,5.75,3.1052950170405937,6.0,2.0,8.0,5.625,1.8468119248354136,5.5,0.0,10.0,5.625,3.814914340921881,6.5,9.0,14.0,11.25,1.6690459207925603,11.0,1.0,10.0,5.5,3.1622776601683795,6.5,0.0,3.0,1.75,1.0350983390135313,2.0,1.0,6.0,3.25,1.4880476182856899,3.0,8.0,13.0,10.5,1.7728105208558367,10.5,0.0,1.0,0.125,0.3535533905932738,0.0,0.0,3.0,1.375,1.1877349391654208,1.0,389.0,817.0,582.875,120.5196338480048,574.5,13.0,26.0,17.0,4.140393356054125,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516.423007067824,2679.974164205576,2577.3043624450943,55.08166845318926,2569.65770756127
Арсенал,2017-02-01 00:45:00,23,2432.2314106490303,1.0,4.0,1.875,1.1259916264596033,1.5,0.0,3.0,1.25,1.164964745021435,1.5,39.0,76.0,62.25,11.841211327997053,62.0,6.0,26.0,16.875,7.239524451627626,17.0,1.0,11.0,5.625,3.113908889391045,5.5,2.0,8.0,5.75,1.9820624179302297,5.5,0.0,10.0,5.5,3.7416573867739413,6.5,10.0,16.0,12.125,2.100170061141308,11.5,1.0,10.0,5.75,3.370036032024414,6.5,0.0,3.0,1.625,0.9161253813129043,2.0,1.0,6.0,3.25,1.4880476182856899,3.0,8.0,13.0,10.875,1.7268882005337975,11.5,0.0,1.0,0.125,0.3535533905932738,0.0,0.0,3.0,1.75,1.164964745021435,1.5,389.0,817.0,590.0,119.30153872795248,587.5,13.0,26.0,17.5,3.8172540616821107,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2516.423007067824,2609.1650820456234,2559.456555012048,37.335380903192565,2544.715658760758
Арсенал,2017-02-04 17:30:00,24,2291.646820368835,1.0,4.0,1.875,1.1259916264596033,1.5,0.0,3.0,1.375,1.3024701806293193,1.5,39.0,76.0,62.25,11.841211327997053,62.0,6.0,26.0,16.875,7.239524451627626,17.0,1.0,11.0,5.875,2.948970764763288,5.5,2.0,8.0,5.25,2.3754698783308417,5.0,0.0,10.0,5.75,3.370036032024414,6.5,10.0,18.0,13.0,2.878491668515698,12.5,1.0,13.0,7.0,4.0,7.5,0.0,3.0,1.75,1.0350983390135313,2.0,1.0,6.0,3.375,1.407885953173359,3.0,8.0,13.0,10.625,1.9955307206712847,11.5,0.0,1.0,0.125,0.3535533905932738,0.0,0.0,3.0,1.75,1.164964745021435,1.5,389.0,817.0,595.375,116.79400363766236,587.5,13.0,26.0,18.375,4.8678977568791,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2432.2314106490303,2609.1650820456234,2537.647092910469,53.32637544193672,2539.627701680216
Арсенал,2017-02-11 17:30:00,25,2344.6222089980092,1.0,4.0,2.0,1.0690449676496976,2.0,0.0,3.0,1.125,1.3562026818605375,0.5,49.0,76.0,63.5,9.289010404005062,62.0,9.0,26.0,18.25,5.775564289066727,18.5,4.0,11.0,6.625,2.1998376563477846,6.5,2.0,8.0,5.625,2.559994419636775,6.0,2.0,10.0,6.0,2.9277002188455996,6.5,8.0,18.0,12.375,3.3779748793788102,11.5,2.0,13.0,7.25,3.615443067098218,7.5,0.0,4.0,2.125,1.246423454758225,2.0,1.0,6.0,3.5,1.4142135623730951,3.5,8.0,12.0,10.5,1.8516401995451028,11.5,0.0,1.0,0.125,0.3535533905932738,0.0,0.0,3.0,1.875,1.246423454758225,2.0,485.0,817.0,607.375,95.56290000383441,587.5,13.0,26.0,19.0,4.840306956027833,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2291.646820368835,2609.1650820456234,2508.5046423267854,102.4432903252759,2539.627701680216
Арсенал,2017-03-04 22:30:00,26,2424.110869150016,1.0,4.0,2.0,1.0690449676496976,2.0,0.0,3.0,1.5,1.4142135623730951,1.5,48.0,74.0,60.0,9.180725150319788,59.0,7.0,24.0,15.875,6.0341291240504855,15.5,3.0,8.0,5.625,1.685018016012207,5.5,2.0,8.0,4.875,2.6423744732991303,5.0,2.0,10.0,5.375,3.2043497223082786,5.5,8.0,18.0,12.625,3.3354160160315836,12.5,2.0,13.0,6.875,3.9074105418879577,7.5,0.0,4.0,2.375,1.1877349391654208,2.5,3.0,6.0,3.875,0.9910312089651149,4.0,8.0,15.0,11.0,2.449489742783178,12.0,0.0,1.0,0.125,0.3535533905932738,0.0,0.0,3.0,1.75,1.164964745021435,1.5,405.0,639.0,555.875,75.32868453839954,574.5,13.0,26.0,18.875,4.940720016932176,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2291.646820368835,2609.1650820456234,2477.5889439240054,110.6544446779512,2526.807355904515
