Команда,Дата,№ Game,Рейтинг,min Забито,max Забито,mean Забито,std Забито,median Забито,min Пропущено,max Пропущено,mean Пропущено,std Пропущено,median Пропущено,min Владение мячом,max Владение мячом,mean Владение мячом,std Владение мячом,median Владение мячом,min Удары,max Удары,mean Удары,std Удары,median Удары,min Удары в створ,max Удары в створ,mean Удары в створ,std Удары в створ,median Удары в створ,min Удары мимо,max Удары мимо,mean Удары мимо,std Удары мимо,median Удары мимо,min Блок-но ударов,max Блок-но ударов,mean Блок-но ударов,std Блок-но ударов,median Блок-но ударов,min Штрафные,max Штрафные,mean Штрафные,std Штрафные,median Штрафные,min Угловые,max Угловые,mean Угловые,std Угловые,median Угловые,min Офсайды,max Офсайды,mean Офсайды,std Офсайды,median Офсайды,min Сэйвы,max Сэйвы,mean Сэйвы,std Сэйвы,median Сэйвы,min Фолы,max Фолы,mean Фолы,std Фолы,median Фолы,min Всего передач,max Всего передач,mean Всего передач,std Всего передач,median Всего передач,min Oтборы,max Oтборы,mean Oтборы,std Oтборы,median Oтборы,min Атаки,max Атаки,mean Атаки,std Атаки,median Атаки,min Опасные атаки,max Опасные атаки,mean Опасные атаки,std Опасные атаки,median Опасные атаки,min Желтые карточки,max Желтые карточки,mean Желтые карточки,std Желтые карточки,median Желтые карточки,min Красные карточки,max Красные карточки,mean Красные карточки,std Красные карточки,median Красные карточки,min Вбрасывания,max Вбрасывания,mean Вбрасывания,std Вбрасывания,median Вбрасывания,min Рейтинг,max Рейтинг,mean Рейтинг,std Рейтинг,median Рейтинг
Бёрнли,2017-12-13 00:45:00,17,2394.9480890707277,0.0,2.0,1.0,0.7559289460184544,1.0,0.0,1.0,0.375,0.5175491695067657,0.0,36.0,51.0,43.125,6.174544517614234,43.0,5.0,16.0,10.375,3.543101950067402,10.0,1.0,7.0,3.75,1.9820624179302297,4.0,2.0,7.0,3.375,1.7677669529663689,3.0,1.0,6.0,3.25,1.4880476182856899,3.0,4.0,18.0,11.375,5.097268175909804,12.0,1.0,8.0,5.125,2.2320714274285347,5.5,1.0,6.0,3.625,1.9226098333849673,4.0,1.0,7.0,2.75,2.187627547301936,2.0,4.0,12.0,8.875,2.748376143938713,9.5,296.0,451.0,367.5,44.96347724224947,362.0,8.0,24.0,15.75,5.574175147179049,14.0,0.0,164.0,92.375,45.39646776693409,98.0,0.0,99.0,53.75,29.941609843159736,49.5,0.0,3.0,1.25,1.0350983390135313,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2169.2035832958372,2418.7668830208568,2321.2100131553343,94.51217207940864,2356.8230871028463
Бёрнли,2017-12-16 20:00:00,18,2560.6312534512017,0.0,2.0,0.875,0.8345229603962802,1.0,0.0,1.0,0.375,0.5175491695067657,0.0,36.0,51.0,42.5,5.976143046671968,40.5,5.0,16.0,10.25,3.494894235064305,10.0,1.0,7.0,3.875,2.100170061141308,4.0,0.0,7.0,3.0,2.138089935299395,2.5,1.0,6.0,3.375,1.5979898086569353,3.0,4.0,18.0,11.875,5.249149590988185,14.0,1.0,8.0,4.75,2.49284690951645,5.5,1.0,6.0,3.375,1.9955307206712847,3.5,1.0,7.0,2.375,1.9955307206712847,2.0,4.0,13.0,9.375,3.113908889391045,10.5,296.0,393.0,355.875,29.734239522812754,354.0,8.0,24.0,15.375,5.804862493757158,14.0,0.0,164.0,90.5,45.44069918979177,91.0,0.0,99.0,52.125,30.52136254213713,45.5,0.0,2.0,1.125,0.8345229603962802,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2169.2035832958372,2398.095308466719,2318.232663911568,91.32117483425914,2356.8230871028463
Бёрнли,2017-12-23 22:30:00,19,2499.9391553987134,0.0,2.0,0.75,0.8864052604279183,0.5,0.0,3.0,0.75,1.0350983390135313,0.5,36.0,51.0,42.875,5.667892024377317,41.0,5.0,16.0,10.25,3.494894235064305,10.0,2.0,7.0,4.0,1.927248223318863,4.0,0.0,7.0,3.125,2.100170061141308,3.0,0.0,6.0,3.125,1.9594095320493148,3.0,4.0,18.0,12.625,4.50198368975912,14.0,2.0,8.0,5.125,2.03100960115899,5.5,1.0,6.0,3.875,1.807721533549109,4.0,1.0,7.0,2.625,2.1998376563477846,2.0,6.0,13.0,10.125,2.2320714274285347,10.5,296.0,393.0,356.125,29.62835273372932,354.0,8.0,24.0,15.375,5.804862493757158,14.0,0.0,164.0,93.375,46.693338466454264,92.5,0.0,99.0,51.875,30.558784100717844,44.5,0.0,2.0,1.25,0.7071067811865476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.7431807000776,2560.6312534512017,2367.1611226809887,104.04144471795287,2375.99543875181
Бёрнли,2017-12-26 20:00:00,20,2150.4189389742724,0.0,2.0,0.75,0.8864052604279183,0.5,0.0,3.0,1.0,1.0690449676496976,1.0,29.0,51.0,41.625,7.46300399111702,41.0,3.0,14.0,8.625,3.4615231989895516,9.0,2.0,6.0,3.375,1.5979898086569353,3.0,0.0,7.0,2.875,2.2320714274285347,2.5,0.0,5.0,2.375,1.8468119248354136,3.0,4.0,18.0,12.25,4.590362575159894,13.0,2.0,7.0,4.375,1.9226098333849673,4.5,1.0,6.0,3.625,2.065879266282796,4.0,1.0,7.0,3.0,2.138089935299395,2.0,6.0,14.0,10.375,2.559994419636775,10.5,270.0,393.0,352.875,37.536410894718514,354.0,8.0,24.0,14.25,4.920801328471382,14.0,81.0,164.0,105.5,27.723120830300267,99.0,29.0,99.0,55.5,24.680819620564815,44.5,0.0,7.0,2.0,2.138089935299395,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.7431807000776,2560.6312534512017,2383.1978120452713,114.22086834557454,2387.6466630449486
Бёрнли,2017-12-30 20:00:00,21,2106.8067956248524,0.0,2.0,0.75,0.8864052604279183,0.5,0.0,3.0,0.875,1.1259916264596033,0.5,29.0,51.0,42.5,7.111359122659224,42.5,3.0,14.0,9.0,3.5456210417116734,10.0,2.0,6.0,3.625,1.5059406173077154,4.0,0.0,7.0,3.125,2.356601669474803,2.5,0.0,5.0,2.25,1.8322507626258087,2.5,4.0,16.0,11.75,4.06201920231798,12.5,2.0,7.0,4.25,1.9086270308410553,4.0,1.0,6.0,3.5,2.0701966780270626,3.5,1.0,7.0,3.0,2.138089935299395,2.0,6.0,14.0,11.125,2.6423744732991303,11.0,270.0,393.0,345.875,42.97653013980006,354.0,8.0,24.0,14.5,4.956957592256421,14.0,81.0,164.0,106.125,27.220987176389155,99.0,29.0,99.0,53.25,24.087637611735314,44.5,0.0,7.0,1.875,2.1671244937540095,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2150.4189389742724,2560.6312534512017,2354.457024789659,140.86186298572565,2368.474311395985
Бёрнли,2018-01-01 20:00:00,22,2123.4792824309275,0.0,2.0,0.625,0.7440238091428449,0.5,0.0,3.0,1.0,1.1952286093343936,0.5,29.0,51.0,43.0,6.8868404532536855,42.5,3.0,14.0,9.25,3.693623849670827,10.5,2.0,6.0,3.625,1.5059406173077154,4.0,0.0,7.0,3.5,2.390457218668787,4.0,0.0,5.0,2.125,1.7268882005337975,2.5,4.0,16.0,12.375,3.9618718519695424,14.0,2.0,7.0,3.875,1.807721533549109,3.5,1.0,6.0,3.5,2.0701966780270626,3.5,1.0,7.0,3.25,1.9820624179302297,2.5,4.0,14.0,10.25,3.654742515847438,10.5,270.0,393.0,349.25,44.38387738164131,366.0,8.0,24.0,13.875,4.764076885549662,13.5,81.0,164.0,108.5,28.69544513382867,99.0,29.0,99.0,53.0,23.766723435449467,44.5,0.0,7.0,1.75,2.2519832529192065,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2106.8067956248524,2560.6312534512017,2318.045960684426,163.75707731513427,2320.4401361277814
Бёрнли,2018-01-13 20:00:00,23,2175.755940562938,0.0,2.0,0.625,0.7440238091428449,0.5,0.0,3.0,1.0,1.1952286093343936,0.5,29.0,56.0,44.0,8.176621726430962,42.5,3.0,12.0,8.5,3.1622776601683795,9.0,2.0,6.0,3.375,1.5979898086569353,3.0,0.0,5.0,3.25,2.052872551885702,4.0,0.0,5.0,1.875,1.7268882005337975,1.5,10.0,16.0,13.875,2.2320714274285347,14.5,2.0,6.0,3.25,1.3887301496588271,3.0,1.0,6.0,3.25,1.8322507626258087,3.5,1.0,7.0,3.125,2.100170061141308,2.5,4.0,14.0,10.125,3.6425069859723185,10.0,270.0,414.0,353.25,48.96281387805589,366.0,8.0,18.0,13.125,3.1367635732209265,13.5,83.0,164.0,115.5,27.84651812037856,111.0,29.0,99.0,58.375,25.22435048009873,49.0,0.0,7.0,1.875,2.295181287579947,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2106.8067956248524,2560.6312534512017,2296.1209036715018,177.82730218248162,2266.3718572106595
Бёрнли,2018-01-20 20:00:00,24,2213.7031767693597,0.0,2.0,0.5,0.7559289460184544,0.0,0.0,3.0,1.125,1.1259916264596033,1.0,29.0,56.0,43.875,8.096516005577426,42.5,3.0,13.0,9.125,3.5228843701879127,10.5,2.0,6.0,3.0,1.5118578920369088,2.0,0.0,8.0,4.0,2.5634797778466227,5.0,0.0,5.0,2.125,1.7268882005337975,2.5,10.0,16.0,13.625,2.1998376563477846,14.0,2.0,6.0,3.5,1.5118578920369088,3.5,1.0,5.0,2.625,1.5979898086569353,2.5,1.0,7.0,3.0,2.2038926600773587,2.5,4.0,14.0,9.75,3.8078865529319543,10.0,270.0,423.0,359.375,54.66243813494915,367.5,11.0,22.0,14.875,3.720119045714225,14.0,83.0,164.0,116.5,27.39134378386198,115.0,29.0,99.0,63.75,25.811127168612487,65.0,0.0,7.0,2.125,2.295181287579947,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2106.8067956248524,2560.6312534512017,2275.340329526714,181.3780470283885,2183.249560631508
Бёрнли,2018-02-01 00:45:00,25,2111.2092184603175,0.0,2.0,0.5,0.7559289460184544,0.0,0.0,3.0,1.25,1.0350983390135313,1.0,29.0,56.0,43.5,7.782764841072135,42.5,3.0,13.0,9.25,3.575711717366808,11.0,2.0,6.0,3.0,1.5118578920369088,2.0,0.0,8.0,4.125,2.6423744732991303,5.0,0.0,5.0,2.125,1.7268882005337975,2.5,10.0,17.0,13.75,2.3754698783308417,14.0,2.0,5.0,3.25,1.164964745021435,3.5,0.0,5.0,2.125,1.7268882005337975,1.5,1.0,5.0,2.5,1.5118578920369088,2.5,4.0,15.0,10.875,3.8706773124535787,11.5,270.0,423.0,355.75,53.051861418804144,361.0,11.0,22.0,15.375,3.8521793460696654,15.0,83.0,139.0,113.375,22.116170554596472,115.0,29.0,88.0,62.375,23.8862632370275,65.0,0.0,7.0,2.375,2.1339098923270936,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2106.8067956248524,2560.6312534512017,2278.210329035374,180.02481473390026,2194.729558666149
Бёрнли,2018-02-03 17:30:00,26,2147.5442087611336,0.0,2.0,0.625,0.7440238091428449,0.5,0.0,3.0,1.375,0.9161253813129043,1.0,29.0,56.0,41.875,9.341726668173134,42.5,3.0,13.0,8.875,3.5228843701879127,9.5,2.0,4.0,2.625,0.9161253813129043,2.0,1.0,8.0,4.625,2.065879266282796,5.0,0.0,3.0,1.625,1.3024701806293193,1.5,6.0,17.0,12.625,3.543101950067402,13.5,2.0,5.0,3.375,1.0606601717798212,3.5,0.0,5.0,2.0,1.7728105208558367,1.0,1.0,6.0,3.0,1.927248223318863,3.0,4.0,15.0,10.375,3.814914340921881,10.0,270.0,423.0,345.75,59.69146864143509,355.0,9.0,22.0,15.125,4.223657859520077,15.0,82.0,139.0,113.25,22.314313151620226,115.0,29.0,88.0,62.125,24.198214219825633,65.0,0.0,7.0,2.625,2.1998376563477846,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2106.8067956248524,2560.6312534512017,2242.7429702090726,181.6829009244039,2163.0874397686052
