Команда,Дата,№ Game,Рейтинг,min Забито,max Забито,mean Забито,std Забито,median Забито,min Пропущено,max Пропущено,mean Пропущено,std Пропущено,median Пропущено,min Владение мячом,max Владение мячом,mean Владение мячом,std Владение мячом,median Владение мячом,min Удары,max Удары,mean Удары,std Удары,median Удары,min Удары в створ,max Удары в створ,mean Удары в створ,std Удары в створ,median Удары в створ,min Удары мимо,max Удары мимо,mean Удары мимо,std Удары мимо,median Удары мимо,min Блок-но ударов,max Блок-но ударов,mean Блок-но ударов,std Блок-но ударов,median Блок-но ударов,min Штрафные,max Штрафные,mean Штрафные,std Штрафные,median Штрафные,min Угловые,max Угловые,mean Угловые,std Угловые,median Угловые,min Офсайды,max Офсайды,mean Офсайды,std Офсайды,median Офсайды,min Сэйвы,max Сэйвы,mean Сэйвы,std Сэйвы,median Сэйвы,min Фолы,max Фолы,mean Фолы,std Фолы,median Фолы,min Желтые карточки,max Желтые карточки,mean Желтые карточки,std Желтые карточки,median Желтые карточки,min Всего передач,max Всего передач,mean Всего передач,std Всего передач,median Всего передач,min Завершено передач,max Завершено передач,mean Завершено передач,std Завершено передач,median Завершено передач,min Oтборы,max Oтборы,mean Oтборы,std Oтборы,median Oтборы,min Атаки,max Атаки,mean Атаки,std Атаки,median Атаки,min Опасные атаки,max Опасные атаки,mean Опасные атаки,std Опасные атаки,median Опасные атаки,min Красные карточки,max Красные карточки,mean Красные карточки,std Красные карточки,median Красные карточки,min Рейтинг,max Рейтинг,mean Рейтинг,std Рейтинг,median Рейтинг
Бёрнли,2018-12-15 20:00:00,17,1798.7121205503126,0.0,2.0,0.625,0.7440238091428449,0.5,0.0,4.0,2.0,1.6035674514745464,2.0,26.0,56.0,36.875,9.234059624177068,37.0,4.0,14.0,8.125,4.086126352846737,6.5,0.0,6.0,2.375,2.1998376563477846,2.0,1.0,8.0,3.375,2.1339098923270936,3.0,1.0,6.0,2.375,1.5059406173077154,2.0,7.0,14.0,10.5,2.449489742783178,10.5,1.0,5.0,3.25,1.4880476182856899,3.5,1.0,6.0,2.625,1.8468119248354136,2.0,1.0,9.0,4.375,2.9246489410818914,4.5,6.0,14.0,9.75,2.3145502494313788,10.0,0.0,4.0,1.75,1.5811388300841898,1.5,229.0,585.0,334.625,108.26018592789714,309.5,0.0,0.0,0.0,0.0,0.0,10.0,23.0,14.875,4.642582409453969,13.5,92.0,155.0,109.25,19.703154207240164,105.0,16.0,55.0,35.5,11.74734012447073,34.0,0.0,0.0,0.0,0.0,0.0,1754.3579031830957,2089.3751796685006,1934.489042991373,126.21340709535137,1922.4567925034105
Бёрнли,2018-12-22 17:30:00,18,1870.602266432059,0.0,2.0,0.75,0.7071067811865476,1.0,0.0,4.0,1.875,1.4577379737113252,2.0,26.0,56.0,38.125,8.838834764831844,37.5,4.0,14.0,8.125,4.086126352846737,6.5,0.0,6.0,2.5,2.138089935299395,2.5,1.0,8.0,3.25,2.1213203435596424,3.0,1.0,6.0,2.375,1.5059406173077154,2.0,7.0,14.0,10.75,2.49284690951645,11.5,1.0,5.0,3.125,1.4577379737113252,3.0,1.0,6.0,2.5,1.6903085094570331,2.0,1.0,9.0,4.25,2.9640705601780613,4.0,6.0,14.0,9.75,2.3145502494313788,10.0,0.0,5.0,1.875,1.807721533549109,1.5,229.0,585.0,338.625,108.4447686942199,309.5,0.0,0.0,0.0,0.0,0.0,11.0,23.0,15.625,4.2067123233504535,15.0,97.0,155.0,111.0,18.539533050060502,106.5,16.0,55.0,36.25,12.186057606953941,34.0,0.0,0.0,0.0,0.0,0.0,1754.3579031830957,2089.3751796685006,1918.816487201514,135.15653508127673,1912.7939963417198
Бёрнли,2018-12-26 20:00:00,19,1938.475415259542,0.0,1.0,0.625,0.5175491695067657,1.0,0.0,5.0,2.0,1.6903085094570331,2.0,26.0,56.0,39.625,9.605615916892427,39.0,4.0,14.0,8.75,4.0970372570571385,8.5,0.0,6.0,2.625,2.1998376563477846,3.0,2.0,8.0,3.875,2.100170061141308,3.0,1.0,6.0,2.25,1.5811388300841898,2.0,7.0,19.0,12.0,3.7032803990902057,12.0,1.0,5.0,3.25,1.5811388300841898,3.0,1.0,6.0,2.5,1.6903085094570331,2.0,1.0,9.0,3.625,3.0676887530703447,2.5,6.0,14.0,10.0,2.32992949004287,10.0,0.0,5.0,1.625,1.5979898086569353,1.5,229.0,585.0,349.75,109.87882936606643,332.0,0.0,0.0,0.0,0.0,0.0,11.0,23.0,15.25,3.9910614413425693,15.0,97.0,155.0,114.875,21.536928418748243,106.5,30.0,60.0,41.75,11.65884091273963,41.0,0.0,0.0,0.0,0.0,0.0,1754.3579031830957,2089.3751796685006,1914.5458986872954,136.19961280347488,1895.7116422848471
Бёрнли,2018-12-30 19:15:00,20,1824.483607534334,0.0,2.0,0.875,0.6408699444616557,1.0,0.0,5.0,2.0,1.6903085094570331,2.0,26.0,56.0,40.375,9.605615916892427,40.5,4.0,17.0,10.125,4.823676724538776,10.5,0.0,6.0,3.125,2.2320714274285347,4.0,2.0,9.0,4.625,2.7222627143085005,3.5,1.0,6.0,2.375,1.5979898086569353,2.0,7.0,19.0,11.75,3.615443067098218,12.0,2.0,5.0,3.75,1.3887301496588271,4.0,1.0,6.0,2.75,1.7525491637693282,2.0,1.0,9.0,3.5,3.0237157840738176,2.5,6.0,15.0,10.625,2.9246489410818914,10.5,0.0,5.0,1.75,1.4880476182856899,1.5,229.0,585.0,354.75,108.08297077444055,347.5,0.0,0.0,0.0,0.0,0.0,11.0,23.0,16.5,4.035556254807296,16.0,97.0,155.0,114.375,21.79080736719697,104.5,30.0,60.0,45.0,11.538754575033526,45.5,0.0,0.0,0.0,0.0,0.0,1754.3579031830957,2089.3751796685006,1916.7526983275338,136.45858954106788,1904.5388408458005
Бёрнли,2019-01-03 00:45:00,21,1915.5712945291866,0.0,2.0,1.0,0.7559289460184544,1.0,0.0,5.0,1.875,1.7268882005337975,1.5,26.0,57.0,40.5,9.841602656942763,40.5,4.0,17.0,10.375,5.097268175909804,10.5,0.0,8.0,3.625,2.8252686345094435,4.0,2.0,9.0,4.5,2.5634797778466227,3.5,1.0,6.0,2.25,1.6690459207925603,2.0,7.0,19.0,11.625,3.6228441865473595,11.5,2.0,5.0,3.375,1.407885953173359,3.0,1.0,6.0,2.875,1.6420805617960927,2.0,1.0,9.0,3.5,3.0237157840738176,2.5,8.0,15.0,11.0,2.390457218668787,10.5,1.0,5.0,2.25,1.4880476182856899,2.0,229.0,483.0,342.0,79.1977633161803,347.5,0.0,0.0,0.0,0.0,0.0,9.0,23.0,15.875,4.793969425970806,16.0,97.0,156.0,114.5,22.05836414087474,104.5,30.0,60.0,46.625,12.569094750901629,50.0,0.0,1.0,0.125,0.3535533905932738,0.0,1754.3579031830957,2089.3751796685006,1888.1107082502685,127.37165745596297,1847.5429369831963
Бёрнли,2019-01-12 20:00:00,22,1957.2480559545957,0.0,2.0,1.25,0.7071067811865476,1.0,0.0,5.0,1.75,1.7525491637693282,1.0,26.0,57.0,40.625,9.855201672213513,41.0,4.0,17.0,11.25,4.399675312695569,11.0,0.0,8.0,3.625,2.8252686345094435,4.0,2.0,9.0,5.0,2.390457218668787,5.0,1.0,6.0,2.625,1.9226098333849673,2.0,7.0,19.0,11.375,3.7392703642746747,11.5,2.0,5.0,3.375,1.407885953173359,3.0,1.0,6.0,2.875,1.6420805617960927,2.0,0.0,9.0,2.625,2.8753881725529062,1.5,5.0,15.0,10.375,3.2043497223082786,10.5,1.0,5.0,2.25,1.4880476182856899,2.0,229.0,483.0,349.75,83.77648834846207,347.5,0.0,0.0,0.0,0.0,0.0,9.0,23.0,16.375,5.2355242608275905,16.0,97.0,156.0,117.0,21.6992429097686,108.5,30.0,60.0,44.375,12.466383368311527,41.0,0.0,1.0,0.125,0.3535533905932738,0.0,1754.3579031830957,2053.8983425760794,1866.3852226078545,100.02535135360567,1847.5429369831963
Бёрнли,2019-01-19 20:00:00,23,2049.9058813205907,0.0,2.0,1.125,0.8345229603962802,1.0,0.0,5.0,1.375,1.7677669529663689,1.0,30.0,57.0,43.0,7.928249671720919,42.5,4.0,17.0,11.375,4.373213921133975,11.0,0.0,8.0,3.25,2.659215781283755,3.5,2.0,9.0,5.375,2.2638462845343543,6.0,1.0,6.0,2.75,1.8322507626258087,2.0,8.0,21.0,13.125,4.580626906564522,12.0,2.0,7.0,3.625,1.8468119248354136,3.0,1.0,8.0,3.125,2.2320714274285347,2.0,0.0,4.0,2.0,1.5118578920369088,1.5,5.0,15.0,10.25,3.24037034920393,10.0,1.0,5.0,2.375,1.407885953173359,2.0,264.0,483.0,362.375,69.34785504974181,347.5,0.0,0.0,0.0,0.0,0.0,9.0,23.0,16.25,5.338539126015656,16.0,97.0,156.0,117.625,21.138573407736995,108.5,30.0,60.0,47.125,13.02127380207372,50.5,0.0,1.0,0.125,0.3535533905932738,0.0,1754.3579031830957,1957.2480559545957,1854.303936780169,77.42528285797655,1847.5429369831963
Бёрнли,2019-01-30 01:00:00,24,1964.3415657214368,0.0,2.0,1.25,0.8864052604279183,1.5,0.0,5.0,1.625,1.685018016012207,1.0,26.0,57.0,41.5,9.899494936611665,42.5,4.0,17.0,10.375,4.596194077712559,11.0,0.0,8.0,3.25,2.659215781283755,3.5,0.0,9.0,4.875,2.948970764763288,6.0,1.0,5.0,2.25,1.2817398889233114,2.0,8.0,21.0,13.0,4.59813626840888,12.0,2.0,7.0,3.75,1.7525491637693282,3.0,1.0,8.0,3.375,2.1998376563477846,3.0,0.0,7.0,2.75,2.2519832529192065,2.5,5.0,15.0,10.0,3.251373336211726,9.0,1.0,5.0,2.5,1.4142135623730951,2.0,228.0,483.0,352.5,82.69911037697356,347.5,0.0,0.0,0.0,0.0,0.0,9.0,23.0,16.5,5.0990195135927845,16.0,71.0,156.0,112.625,26.880356609029043,104.5,26.0,60.0,46.5,13.98979219696582,50.5,0.0,1.0,0.125,0.3535533905932738,0.0,1754.3579031830957,2049.9058813205907,1888.6695680954647,95.97820706452433,1893.0867804806228
Бёрнли,2019-02-02 20:00:00,25,2001.681687162827,0.0,2.0,1.375,0.7440238091428449,1.5,0.0,5.0,1.625,1.685018016012207,1.0,26.0,57.0,44.5,9.54687682663064,44.0,6.0,17.0,11.75,4.026696625558687,11.0,0.0,8.0,4.0,2.449489742783178,4.0,0.0,9.0,5.0,2.8284271247461903,6.0,1.0,6.0,2.75,1.8322507626258087,2.0,8.0,21.0,13.0,4.59813626840888,12.0,2.0,7.0,3.875,1.7268882005337975,3.5,2.0,8.0,3.5,2.0701966780270626,3.0,0.0,7.0,2.875,2.2320714274285347,3.0,5.0,15.0,10.25,3.1509635714446826,9.5,1.0,5.0,2.625,1.407885953173359,2.5,228.0,483.0,376.625,81.33341871580218,379.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,15.125,4.54933276112317,14.5,71.0,156.0,119.5,29.242825737996956,114.5,26.0,65.0,50.875,13.558734664941479,57.5,0.0,1.0,0.125,0.3535533905932738,0.0,1798.7121205503126,2049.9058813205907,1914.9175259127574,81.64181281303513,1927.0233548943643
Бёрнли,2019-02-09 22:30:00,26,2017.9040118238627,0.0,3.0,1.625,0.9161253813129043,2.0,0.0,5.0,1.375,1.5979898086569353,1.0,26.0,57.0,43.5,10.460811222298748,44.0,6.0,17.0,12.0,3.7416573867739413,11.0,0.0,8.0,4.375,2.326094212561969,4.5,0.0,9.0,4.875,2.948970764763288,6.0,1.0,6.0,2.75,1.8322507626258087,2.0,8.0,21.0,12.5,4.928053803045811,11.5,2.0,7.0,3.875,1.7268882005337975,3.5,0.0,8.0,3.0,2.390457218668787,2.0,0.0,7.0,3.125,2.356601669474803,3.5,5.0,15.0,9.375,2.9246489410818914,9.0,1.0,4.0,2.125,1.1259916264596033,2.0,228.0,483.0,363.625,92.4676584387366,369.5,0.0,0.0,0.0,0.0,0.0,9.0,22.0,14.5,4.750939756661683,12.5,71.0,156.0,116.125,32.41004033144227,113.0,26.0,65.0,48.875,15.578717167065733,57.5,0.0,1.0,0.125,0.3535533905932738,0.0,1824.483607534334,2049.9058813205907,1940.2887217393215,71.24649566962151,1947.8617356070688
