Команда,Дата,№ Game,Рейтинг,min Забито,max Забито,mean Забито,std Забито,median Забито,min Пропущено,max Пропущено,mean Пропущено,std Пропущено,median Пропущено,min Владение мячом,max Владение мячом,mean Владение мячом,std Владение мячом,median Владение мячом,min Удары,max Удары,mean Удары,std Удары,median Удары,min Удары в створ,max Удары в створ,mean Удары в створ,std Удары в створ,median Удары в створ,min Удары мимо,max Удары мимо,mean Удары мимо,std Удары мимо,median Удары мимо,min Блок-но ударов,max Блок-но ударов,mean Блок-но ударов,std Блок-но ударов,median Блок-но ударов,min Штрафные,max Штрафные,mean Штрафные,std Штрафные,median Штрафные,min Угловые,max Угловые,mean Угловые,std Угловые,median Угловые,min Офсайды,max Офсайды,mean Офсайды,std Офсайды,median Офсайды,min Вбрасывания,max Вбрасывания,mean Вбрасывания,std Вбрасывания,median Вбрасывания,min Сэйвы,max Сэйвы,mean Сэйвы,std Сэйвы,median Сэйвы,min Фолы,max Фолы,mean Фолы,std Фолы,median Фолы,min Всего передач,max Всего передач,mean Всего передач,std Всего передач,median Всего передач,min Oтборы,max Oтборы,mean Oтборы,std Oтборы,median Oтборы,min Атаки,max Атаки,mean Атаки,std Атаки,median Атаки,min Опасные атаки,max Опасные атаки,mean Опасные атаки,std Опасные атаки,median Опасные атаки,min Красные карточки,max Красные карточки,mean Красные карточки,std Красные карточки,median Красные карточки,min Желтые карточки,max Желтые карточки,mean Желтые карточки,std Желтые карточки,median Желтые карточки,min Рейтинг,max Рейтинг,mean Рейтинг,std Рейтинг,median Рейтинг
Арсенал,2021-01-03 01:00:00,17,2226.0813611494987,0.0,4.0,1.375,1.407885953173359,1.0,0.0,2.0,1.125,0.8345229603962802,1.0,35.0,69.0,54.375,11.963486114005399,57.0,9.0,21.0,13.875,3.9798600118956085,13.0,2.0,12.0,4.75,3.494894235064305,3.5,3.0,7.0,5.75,1.4880476182856899,6.0,2.0,6.0,3.375,1.407885953173359,3.5,9.0,16.0,12.125,2.4748737341529163,12.0,2.0,13.0,6.375,3.6228441865473595,6.0,0.0,3.0,1.125,1.1259916264596033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.75,1.0350983390135313,2.0,4.0,13.0,9.125,4.189698250300543,10.5,328.0,632.0,504.5,115.62377412477566,531.0,9.0,16.0,12.25,2.712405363721075,12.5,71.0,175.0,107.625,33.21762656009177,110.5,27.0,94.0,55.25,22.37824198380459,58.0,0.0,1.0,0.25,0.4629100498862757,0.0,0.0,3.0,2.125,0.9910312089651149,2.0,1757.8536027304285,2129.10067059858,1929.3472217829428,145.5093173404882,1905.3760404043855
Арсенал,2021-01-15 01:00:00,18,2200.1018736800097,0.0,4.0,1.25,1.4880476182856899,1.0,0.0,2.0,0.875,0.8345229603962802,1.0,35.0,69.0,55.75,12.781124475457661,60.0,9.0,21.0,13.625,4.103569874424672,12.0,2.0,12.0,5.0,3.3380918415851206,4.0,3.0,7.0,5.5,1.4142135623730951,6.0,2.0,6.0,3.125,1.4577379737113252,2.5,9.0,16.0,12.0,2.449489742783178,11.5,2.0,13.0,6.25,3.575711717366808,6.0,0.0,3.0,1.0,1.0690449676496976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.625,0.9161253813129043,2.0,4.0,13.0,8.75,3.9188190640986296,9.5,328.0,692.0,529.25,132.94870117025266,554.0,9.0,17.0,12.75,3.1959796173138706,13.0,76.0,175.0,120.25,36.354406296112955,114.0,27.0,94.0,59.125,23.966867010222973,66.0,0.0,1.0,0.25,0.4629100498862757,0.0,0.0,3.0,1.875,0.9910312089651149,2.0,1757.8536027304285,2226.0813611494987,1941.4698081018078,166.98365291662824,1905.3760404043855
Арсенал,2021-01-19 01:00:00,19,2388.567458023292,0.0,4.0,1.625,1.5059406173077154,1.0,0.0,2.0,0.625,0.7440238091428449,0.5,35.0,67.0,55.375,12.374368670764582,60.0,9.0,21.0,14.75,4.496029994816062,14.0,2.0,12.0,5.5,3.116774889895918,5.0,3.0,11.0,6.125,2.416461403433896,6.0,2.0,6.0,3.125,1.4577379737113252,2.5,9.0,14.0,11.125,2.03100960115899,10.5,2.0,13.0,6.0,3.4226138716316967,6.0,0.0,4.0,1.5,1.4142135623730951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.625,0.9161253813129043,2.0,4.0,13.0,8.375,3.7008686239082538,9.0,328.0,692.0,529.5,133.17121096006986,554.0,7.0,17.0,11.75,3.615443067098218,11.0,76.0,172.0,114.5,29.437585304698967,114.0,27.0,81.0,55.875,19.995981739196647,66.0,0.0,1.0,0.25,0.4629100498862757,0.0,0.0,3.0,1.625,1.1877349391654208,2.0,1757.8536027304285,2226.0813611494987,1955.238057355095,184.58861472009718,1905.3760404043855
Арсенал,2021-01-27 01:15:00,20,2608.6331361678726,0.0,4.0,2.0,1.4142135623730951,2.0,0.0,2.0,0.625,0.7440238091428449,0.5,35.0,67.0,52.5,12.489995996796797,54.0,9.0,21.0,13.625,4.68851179556401,12.0,2.0,12.0,5.375,3.113908889391045,4.5,3.0,11.0,5.875,2.5319388392523003,5.5,0.0,4.0,2.375,1.3024701806293193,2.0,9.0,14.0,11.125,2.03100960115899,10.5,2.0,7.0,5.0,1.927248223318863,5.0,0.0,4.0,1.375,1.3024701806293193,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.1952286093343936,2.0,4.0,13.0,8.5,3.585685828003181,9.0,328.0,692.0,504.0,146.06065276354985,531.0,7.0,17.0,12.125,3.7961446607992015,12.0,76.0,172.0,112.875,29.76305235882714,110.5,27.0,81.0,52.25,20.520025062641334,51.5,0.0,1.0,0.125,0.3535533905932738,0.0,0.0,3.0,1.625,1.1877349391654208,2.0,1757.8536027304285,2388.567458023292,2025.42414246422,230.0470674906315,2001.5459614862266
Арсенал,2021-01-30 22:30:00,21,2649.954994842086,0.0,4.0,1.875,1.5526475085202969,2.0,0.0,2.0,0.5,0.7559289460184544,0.0,40.0,67.0,53.5,11.135528725660043,54.0,9.0,21.0,14.625,4.405759217854998,14.0,2.0,12.0,5.25,3.1959796173138706,4.5,4.0,11.0,6.5,2.32992949004287,6.5,0.0,6.0,2.875,1.807721533549109,2.5,9.0,18.0,11.625,3.0676887530703447,10.5,3.0,7.0,5.25,1.5811388300841898,5.0,0.0,4.0,1.25,1.3887301496588271,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.125,1.246423454758225,2.0,4.0,13.0,8.0,3.116774889895918,9.0,328.0,692.0,516.0,134.11721951870524,531.0,7.0,17.0,12.625,3.583194903195431,13.5,76.0,172.0,114.25,28.409002597265335,110.5,34.0,81.0,53.5,19.01127485016645,51.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.375,1.0606601717798212,1.5,1757.8536027304285,2608.6331361678726,2120.419478153048,294.50916191803447,2120.556083250469
Арсенал,2021-02-02 23:00:00,22,2571.861594581739,0.0,4.0,1.875,1.5526475085202969,2.0,0.0,2.0,0.5,0.7559289460184544,0.0,40.0,67.0,51.875,11.33184514038708,47.5,9.0,21.0,14.125,4.823676724538776,13.0,3.0,12.0,5.375,3.0676887530703447,4.5,1.0,11.0,5.75,3.011881234615431,5.5,0.0,6.0,3.0,1.927248223318863,2.5,9.0,18.0,11.875,2.997022331772464,11.5,4.0,7.0,5.625,1.3024701806293193,5.5,0.0,4.0,1.625,1.407885953173359,1.5,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.75,1.2817398889233114,2.5,4.0,13.0,7.875,3.090885217631258,8.5,328.0,692.0,508.125,133.61719040388692,499.5,7.0,17.0,13.125,3.2705394924123103,13.5,76.0,172.0,112.25,29.06519764745656,105.0,32.0,81.0,49.0,19.346465162548796,37.0,0.0,2.0,0.25,0.7071067811865476,0.0,0.0,2.0,1.25,0.8864052604279183,1.5,1779.026470500831,2649.954994842086,2231.9321521670054,306.27316538948224,2213.091617414754
Арсенал,2021-02-06 17:30:00,23,2465.942718186397,0.0,4.0,1.5,1.6035674514745464,1.0,0.0,2.0,0.5,0.7559289460184544,0.0,42.0,67.0,55.125,11.166755507820012,56.0,9.0,21.0,14.0,4.810702354423639,12.5,3.0,12.0,4.875,3.090885217631258,3.5,1.0,11.0,6.0,2.9277002188455996,6.0,0.0,6.0,3.125,2.03100960115899,2.5,9.0,18.0,12.375,2.774243783705493,12.0,4.0,7.0,5.625,1.3024701806293193,5.5,0.0,4.0,1.5,1.5118578920369088,1.5,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.375,1.9226098333849673,3.0,4.0,12.0,7.75,2.866057521105554,8.5,353.0,692.0,541.75,114.25754117031275,554.0,7.0,17.0,12.625,3.0676887530703447,13.0,94.0,172.0,119.25,25.627830854087403,114.0,32.0,82.0,54.625,21.751436734156208,51.5,0.0,2.0,0.25,0.7071067811865476,0.0,0.0,2.0,1.25,0.8864052604279183,1.5,1962.0816301515247,2649.954994842086,2331.036542677119,264.163853494567,2307.3244095863956
Арсенал,2021-02-14 21:30:00,24,2336.486762783163,0.0,4.0,1.875,1.807721533549109,2.0,0.0,2.0,0.75,0.8864052604279183,0.5,42.0,67.0,54.625,11.51319119221823,54.0,9.0,21.0,14.25,4.6827952580239325,13.5,3.0,12.0,5.125,2.997022331772464,4.5,1.0,11.0,5.625,3.113908889391045,5.5,0.0,6.0,3.5,2.0701966780270626,4.0,9.0,18.0,13.0,2.9760952365713798,12.5,4.0,7.0,5.625,1.3024701806293193,5.5,0.0,4.0,1.75,1.3887301496588271,2.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.5,1.8516401995451028,3.0,4.0,12.0,8.25,2.434865792722759,8.5,353.0,692.0,530.75,121.63851598662559,542.5,5.0,17.0,12.0,4.035556254807296,13.0,87.0,172.0,116.625,27.917928187559234,111.0,32.0,82.0,55.5,20.92844953645635,53.5,0.0,2.0,0.25,0.7071067811865476,0.0,0.0,2.0,1.25,0.8864052604279183,1.5,1962.0816301515247,2649.954994842086,2384.153095847803,239.04312081735844,2427.2550881048446
Арсенал,2021-02-21 21:30:00,25,2390.3863554923446,0.0,4.0,1.375,1.685018016012207,0.5,0.0,2.0,0.875,0.8345229603962802,1.0,42.0,67.0,52.5,11.526367287968176,45.5,7.0,20.0,12.5,4.4077853201547175,12.0,1.0,6.0,3.75,1.5811388300841898,3.5,1.0,11.0,5.125,3.181980515339464,4.5,0.0,6.0,3.625,1.9955307206712847,4.0,9.0,18.0,13.375,2.7222627143085005,13.0,1.0,7.0,5.125,2.100170061141308,5.5,0.0,4.0,1.625,1.407885953173359,1.5,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.375,1.9226098333849673,3.0,6.0,12.0,9.125,1.8850918886280925,9.0,353.0,692.0,512.75,116.586877477699,483.5,5.0,17.0,11.25,4.166190448976482,12.5,87.0,172.0,113.125,29.161802315455645,99.5,30.0,82.0,51.0,22.181073012818835,39.0,0.0,2.0,0.25,0.7071067811865476,0.0,0.0,2.0,1.25,0.8864052604279183,1.5,2200.1018736800097,2649.954994842086,2430.9537374267575,171.7958306520214,2427.2550881048446
Арсенал,2021-02-28 17:00:00,26,2211.0480970761255,0.0,4.0,1.75,1.6690459207925603,2.0,0.0,2.0,1.0,0.7559289460184544,1.0,42.0,66.0,51.125,10.119817897853414,45.5,7.0,20.0,12.625,4.373213921133975,12.5,1.0,6.0,3.75,1.5811388300841898,3.5,1.0,11.0,5.0,3.2071349029490928,4.0,0.0,6.0,3.875,1.8850918886280925,4.5,9.0,18.0,13.625,2.669269563007828,13.5,1.0,7.0,5.125,2.100170061141308,5.5,0.0,4.0,1.625,1.407885953173359,1.5,0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.375,1.9226098333849673,3.0,3.0,12.0,8.25,2.815771906346718,8.5,353.0,634.0,489.625,91.62959206968644,483.5,5.0,15.0,10.25,3.494894235064305,10.5,87.0,132.0,106.75,17.822537898482842,99.5,30.0,82.0,47.375,18.66958948205802,39.0,0.0,2.0,0.25,0.7071067811865476,0.0,0.0,2.0,1.25,0.8864052604279183,1.5,2200.1018736800097,2649.954994842086,2451.491861719613,152.5474902756036,2428.164536839371
