Команда,Дата,№ Game,Рейтинг,min Забито,max Забито,mean Забито,std Забито,median Забито,min Пропущено,max Пропущено,mean Пропущено,std Пропущено,median Пропущено,min Владение мячом,max Владение мячом,mean Владение мячом,std Владение мячом,median Владение мячом,min Удары,max Удары,mean Удары,std Удары,median Удары,min Удары в створ,max Удары в створ,mean Удары в створ,std Удары в створ,median Удары в створ,min Удары мимо,max Удары мимо,mean Удары мимо,std Удары мимо,median Удары мимо,min Блок-но ударов,max Блок-но ударов,mean Блок-но ударов,std Блок-но ударов,median Блок-но ударов,min Штрафные,max Штрафные,mean Штрафные,std Штрафные,median Штрафные,min Угловые,max Угловые,mean Угловые,std Угловые,median Угловые,min Офсайды,max Офсайды,mean Офсайды,std Офсайды,median Офсайды,min Вбрасывания,max Вбрасывания,mean Вбрасывания,std Вбрасывания,median Вбрасывания,min Сэйвы,max Сэйвы,mean Сэйвы,std Сэйвы,median Сэйвы,min Фолы,max Фолы,mean Фолы,std Фолы,median Фолы,min Желтые карточки,max Желтые карточки,mean Желтые карточки,std Желтые карточки,median Желтые карточки,min Всего передач,max Всего передач,mean Всего передач,std Всего передач,median Всего передач,min Завершено передач,max Завершено передач,mean Завершено передач,std Завершено передач,median Завершено передач,min Oтборы,max Oтборы,mean Oтборы,std Oтборы,median Oтборы,min Атаки,max Атаки,mean Атаки,std Атаки,median Атаки,min Опасные атаки,max Опасные атаки,mean Опасные атаки,std Опасные атаки,median Опасные атаки,min Красные карточки,max Красные карточки,mean Красные карточки,std Красные карточки,median Красные карточки,min Рейтинг,max Рейтинг,mean Рейтинг,std Рейтинг,median Рейтинг
Арсенал,2021-12-16 01:00:00,17,2387.721739379046,0.0,3.0,1.625,0.9161253813129043,2.0,0.0,4.0,1.125,1.6420805617960927,0.0,36.0,66.0,54.625,11.783008347374015,58.5,5.0,24.0,14.375,6.323143431644016,14.5,3.0,8.0,5.5,1.927248223318863,5.5,0.0,12.0,5.0,3.7032803990902057,5.0,2.0,8.0,3.875,2.100170061141308,3.0,8.0,18.0,12.125,3.6815175442433286,11.0,1.0,9.0,5.0,2.6186146828319083,4.5,0.0,8.0,2.125,2.6423744732991303,1.0,15.0,23.0,18.75,2.9640705601780613,18.5,1.0,8.0,4.5,2.6186146828319083,5.0,5.0,12.0,8.875,2.850438562747845,9.5,0.0,4.0,1.375,1.407885953173359,1.5,342.0,646.0,497.75,98.78512033702242,504.0,262.0,560.0,408.5,97.34034547474576,414.0,7.0,22.0,15.0,6.117889458675388,16.0,76.0,143.0,106.125,20.601230892490726,108.5,24.0,71.0,50.125,18.719260516529875,56.0,0.0,0.0,0.0,0.0,0.0,2244.766900433962,2593.7727264867262,2393.859508732928,121.57020011465862,2406.5005379314257
Арсенал,2021-12-18 22:30:00,18,2491.7377039272033,0.0,4.0,1.875,1.246423454758225,2.0,0.0,4.0,1.25,1.5811388300841898,0.5,37.0,66.0,56.25,9.528153771099324,58.5,5.0,24.0,15.875,6.2891630149465385,16.0,3.0,12.0,6.375,2.9730936268953445,6.0,0.0,12.0,5.25,3.453776401067595,5.0,2.0,8.0,4.25,2.187627547301936,3.5,8.0,18.0,12.125,3.6815175442433286,11.0,1.0,9.0,4.75,2.6049403612586386,4.0,0.0,8.0,2.125,2.6423744732991303,1.0,15.0,23.0,18.25,3.24037034920393,17.5,1.0,7.0,3.625,2.445841952609133,4.0,5.0,12.0,8.375,2.774243783705493,8.0,0.0,4.0,1.5,1.3093073414159542,1.5,384.0,646.0,504.0,88.57764955111419,504.0,287.0,560.0,414.125,88.57029089131089,414.0,8.0,22.0,15.75,5.311712126450916,16.0,76.0,143.0,108.625,18.65427947837018,108.5,24.0,71.0,51.25,17.351409987993154,56.0,0.0,0.0,0.0,0.0,0.0,2247.468991804842,2593.7727264867262,2411.7288636010635,106.03890829546118,2406.5005379314257
Арсенал,2021-12-26 20:00:00,19,2422.8061984467686,0.0,5.0,2.375,1.5979898086569353,2.0,0.0,4.0,1.25,1.5811388300841898,0.5,37.0,66.0,56.75,9.910312089651148,59.0,5.0,24.0,16.125,6.243568119044018,16.5,3.0,12.0,6.375,2.9730936268953445,6.0,0.0,12.0,5.0,3.4641016151377544,4.5,2.0,8.0,4.75,2.052872551885702,5.0,8.0,18.0,11.75,3.24037034920393,11.0,1.0,9.0,4.75,2.6049403612586386,4.0,0.0,8.0,2.0,2.6186146828319083,1.0,15.0,23.0,18.75,3.1509635714446826,18.5,1.0,7.0,3.75,2.3145502494313788,4.0,5.0,12.0,8.5,2.6726124191242437,8.0,0.0,2.0,1.25,0.8864052604279183,1.5,384.0,646.0,516.125,92.6212525750512,516.5,287.0,560.0,424.625,92.75611262106358,428.5,8.0,22.0,14.625,4.718883039751796,13.5,76.0,143.0,109.5,18.83765226500221,109.5,24.0,71.0,49.0,17.3699247469379,47.0,0.0,0.0,0.0,0.0,0.0,2247.468991804842,2593.7727264867262,2423.4606369701637,109.42603200564456,2432.2809662958775
Арсенал,2022-01-01 17:30:00,20,2377.3787182696337,1.0,5.0,2.5,1.4142135623730951,2.0,0.0,3.0,1.0,1.1952286093343936,0.5,29.0,66.0,55.75,12.302729081677075,59.0,7.0,24.0,16.375,5.755432216610669,16.5,2.0,12.0,6.25,3.1509635714446826,6.0,3.0,12.0,5.5,2.878491668515698,4.5,1.0,8.0,4.625,2.2638462845343543,5.0,8.0,14.0,10.5,2.2677868380553634,10.0,3.0,9.0,5.25,2.1213203435596424,4.5,0.0,3.0,1.125,0.9910312089651149,1.0,11.0,23.0,18.0,4.174754056057845,18.5,0.0,7.0,3.125,2.5877458475338284,2.5,5.0,13.0,8.625,2.8753881725529062,8.0,0.0,5.0,1.875,1.4577379737113252,2.0,249.0,646.0,499.25,126.30546871997043,516.5,179.0,560.0,411.125,119.61776922466709,428.5,8.0,22.0,14.375,4.565006649971686,13.5,98.0,143.0,112.25,14.310335924977942,109.5,36.0,71.0,50.625,15.165162144109862,47.0,0.0,1.0,0.125,0.3535533905932738,0.0,2247.468991804842,2593.7727264867262,2424.421716914954,109.37604027529686,2436.1252860750374
Арсенал,2022-01-23 19:00:00,21,2517.3801719192084,0.0,5.0,2.25,1.6690459207925603,2.0,0.0,3.0,1.0,1.1952286093343936,0.5,29.0,76.0,57.0,13.897584579446068,59.0,7.0,21.0,15.875,5.139135558215436,16.5,2.0,12.0,6.125,3.181980515339464,5.5,3.0,8.0,5.0,1.6903085094570331,4.5,1.0,8.0,4.75,2.3754698783308417,5.0,8.0,15.0,10.75,2.659215781283755,10.0,3.0,12.0,6.25,3.1052950170405937,5.0,0.0,3.0,1.125,0.9910312089651149,1.0,11.0,23.0,18.625,4.033343171967536,19.5,0.0,7.0,2.625,2.559994419636775,1.5,5.0,13.0,9.0,2.6726124191242437,9.0,0.0,5.0,1.75,1.5811388300841898,2.0,249.0,643.0,498.875,125.81101189596129,516.5,179.0,564.0,411.625,120.3351717970626,428.5,7.0,22.0,13.5,5.264435935053794,13.0,98.0,133.0,111.0,11.376667852608312,109.5,36.0,80.0,51.75,17.10263137648707,47.0,0.0,1.0,0.125,0.3535533905932738,0.0,2247.468991804842,2491.7377039272033,2397.372465887817,85.7086516166885,2405.2639689129073
Арсенал,2022-02-11 00:45:00,22,2528.5018443436957,0.0,5.0,2.125,1.7268882005337975,1.5,0.0,2.0,0.625,0.9161253813129043,0.0,29.0,76.0,55.375,14.889473750654473,59.0,7.0,21.0,15.25,5.284748946598261,15.5,2.0,12.0,5.375,3.3779748793788102,5.0,3.0,8.0,4.75,1.8322507626258087,4.0,1.0,8.0,5.125,2.4748737341529163,6.0,8.0,15.0,11.25,2.659215781283755,11.0,3.0,12.0,5.75,3.1052950170405937,4.5,0.0,3.0,1.25,1.0350983390135313,1.0,11.0,23.0,17.875,3.6425069859723185,18.5,0.0,6.0,2.25,1.9820624179302297,1.5,5.0,13.0,9.375,3.020761493398643,9.0,0.0,5.0,2.375,1.7677669529663689,2.0,249.0,643.0,477.625,134.62321759000457,504.0,179.0,564.0,390.875,129.12832764347257,412.5,7.0,22.0,14.375,5.180664601601393,14.5,89.0,133.0,108.625,13.814459298658262,107.5,36.0,80.0,49.25,17.018897060116945,41.0,0.0,1.0,0.25,0.4629100498862757,0.0,2247.468991804842,2517.3801719192084,2400.655685584456,90.19809238338156,2405.2639689129073
Арсенал,2022-02-19 20:00:00,23,2609.5392363891274,0.0,5.0,2.25,1.6690459207925603,2.0,0.0,2.0,0.5,0.7559289460184544,0.0,29.0,76.0,55.75,15.172814034129784,59.0,7.0,24.0,17.0,5.606119105813881,18.0,2.0,12.0,6.0,3.3380918415851206,5.5,3.0,8.0,5.25,2.1213203435596424,4.5,1.0,8.0,5.75,2.49284690951645,6.5,7.0,15.0,10.625,3.020761493398643,10.0,4.0,14.0,7.125,4.0155946010522525,5.0,0.0,3.0,1.25,1.0350983390135313,1.0,11.0,25.0,18.125,4.086126352846737,18.5,0.0,6.0,2.0,2.0,1.0,5.0,13.0,9.125,2.850438562747845,9.0,0.0,5.0,2.25,1.8322507626258087,2.0,249.0,643.0,474.375,131.8634981443202,504.0,179.0,564.0,390.375,128.7100145953797,412.5,7.0,22.0,13.75,4.832922806867792,13.5,89.0,133.0,110.375,15.900920907742599,107.5,36.0,89.0,55.875,20.97915632240725,47.0,0.0,1.0,0.25,0.4629100498862757,0.0,2247.468991804842,2528.5018443436957,2410.537869414505,100.09489415430775,2405.2639689129073
Арсенал,2022-02-25 00:45:00,24,2856.612970377373,0.0,5.0,2.125,1.6420805617960927,2.0,0.0,2.0,0.625,0.7440238091428449,0.5,29.0,76.0,54.875,14.961259496255177,55.5,7.0,26.0,18.375,6.345695954176906,20.5,2.0,12.0,6.0,3.3380918415851206,5.5,3.0,11.0,5.75,2.9154759474226504,4.5,1.0,10.0,6.625,2.615202805574687,7.0,7.0,15.0,10.75,3.011881234615431,10.5,4.0,14.0,6.625,3.9977672339873487,5.0,0.0,2.0,1.125,0.8345229603962802,1.0,11.0,25.0,18.25,4.131758532565592,19.0,0.0,4.0,1.375,1.1877349391654208,1.0,7.0,13.0,9.5,2.390457218668787,9.0,0.0,5.0,2.125,1.8850918886280925,1.5,249.0,643.0,474.5,131.89931224774665,504.5,179.0,564.0,391.875,128.9877485876635,418.5,7.0,22.0,14.25,4.334248987508019,13.5,89.0,161.0,118.0,23.176342617912283,113.5,36.0,89.0,57.875,21.423868531550106,55.0,0.0,1.0,0.25,0.4629100498862757,0.0,2247.468991804842,2609.5392363891274,2447.8168255599403,112.61187797949148,2457.271951186986
Арсенал,2022-03-06 19:00:00,25,2696.7796689703537,0.0,5.0,2.25,1.6690459207925603,2.0,0.0,2.0,0.875,0.8345229603962802,1.0,29.0,76.0,55.0,14.976171549689003,56.0,7.0,26.0,17.75,6.296257391725432,18.0,2.0,12.0,5.5,3.295017884191656,5.0,3.0,11.0,6.25,3.1052950170405937,6.0,1.0,10.0,6.0,2.8284271247461903,6.5,7.0,15.0,10.625,3.1594529363709247,10.5,4.0,14.0,6.625,3.9977672339873487,5.0,0.0,2.0,1.125,0.8345229603962802,1.0,11.0,25.0,17.875,4.2907708265199025,18.5,0.0,5.0,1.875,1.7268882005337975,1.0,7.0,13.0,9.75,2.434865792722759,9.5,0.0,5.0,2.125,1.8850918886280925,1.5,249.0,643.0,481.375,134.87765620315747,532.0,179.0,564.0,398.0,131.59678676059795,443.0,7.0,20.0,14.0,3.854496446637726,13.5,89.0,161.0,118.875,23.005822244441887,117.0,36.0,89.0,57.25,21.08994343960444,53.0,0.0,1.0,0.25,0.4629100498862757,0.0,2377.3787182696337,2856.612970377373,2523.959822881507,155.5465160710148,2504.558937923206
Арсенал,2022-03-13 21:30:00,26,2665.88140626545,0.0,5.0,2.0,1.5118578920369088,2.0,0.0,2.0,0.75,0.8864052604279183,0.5,29.0,76.0,54.625,15.183990629230887,56.0,7.0,26.0,17.75,6.296257391725432,18.0,2.0,8.0,5.0,2.32992949004287,5.0,3.0,11.0,6.375,2.9730936268953445,6.0,1.0,10.0,6.375,3.020761493398643,7.0,7.0,15.0,10.25,3.4121631178560534,9.5,2.0,14.0,6.375,4.240535680446853,5.0,0.0,2.0,1.25,0.8864052604279183,1.5,11.0,25.0,17.875,4.2907708265199025,18.5,0.0,5.0,2.125,1.7268882005337975,1.5,7.0,13.0,9.875,2.295181287579947,9.5,0.0,5.0,2.0,2.0,1.5,249.0,643.0,492.5,130.0362586797566,532.0,179.0,564.0,411.375,126.35995918689704,443.0,7.0,20.0,14.25,3.8452196667699345,14.5,89.0,161.0,118.875,23.005822244441887,117.0,37.0,89.0,58.875,19.67186170287761,57.0,0.0,1.0,0.25,0.4629100498862757,0.0,2377.3787182696337,2856.612970377373,2562.5920640804206,155.25523407701183,2522.941008131452
