Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Красные карточки,К2 Красные карточки,К1 Всего передач,К2 Всего передач,К1 Вбрасывания,К2 Вбрасывания
18.05.2016 00:00,Манчестер Юнайтед,Борнмут,3,1,67,33,12,7,5,0,3,3,4,4,10.0,14.0,7,1,4,2,0,2,9,8,1.0,0.0,,,,,,
15.05.2016 19:00,Арсенал,Астон Вилла,4,0,60,40,16,5,7,2,7,0,2,3,6.0,12.0,5,4,0,0,2,3,12,6,0.0,1.0,,,,,,
15.05.2016 19:00,Вест Бромвич,Ливерпуль,1,1,33,67,13,7,1,3,7,3,5,1,14.0,12.0,7,5,1,0,2,0,11,14,3.0,1.0,,,,,,
15.05.2016 19:00,Ньюкасл Юнайтед,Тоттенхэм,5,1,37,63,19,17,10,5,3,6,6,6,5.0,9.0,3,8,1,1,4,5,7,6,1.0,2.0,1.0,0.0,,,,
15.05.2016 19:00,Саутгемптон,Кристал Пэлас,4,1,50,50,18,16,5,4,11,4,2,8,14.0,9.0,2,5,2,1,3,1,7,14,1.0,2.0,,,,,,
15.05.2016 19:00,Сток Сити,Вест Хэм,2,1,47,53,7,19,4,6,2,6,1,7,14.0,15.0,4,10,6,2,5,2,8,12,3.0,1.0,,,,,,
15.05.2016 19:00,Суонси,Манчестер Сити,1,1,50,50,4,18,1,5,2,10,1,3,19.0,6.0,4,4,2,2,4,0,4,19,1.0,3.0,,,,,,
15.05.2016 19:00,Уотфорд,Сандерленд,2,2,54,46,21,6,6,4,11,1,4,1,12.0,12.0,7,4,1,4,2,4,11,10,1.0,0.0,,,,,,
15.05.2016 19:00,Челси,Лестер,1,1,54,46,17,18,4,5,4,6,9,7,11.0,13.0,7,6,8,0,4,3,5,12,,,,,,,,
15.05.2016 19:00,Эвертон,Норвич,3,0,46,54,15,10,8,2,4,6,3,2,11.0,8.0,4,11,1,1,2,5,7,11,,,,,,,,
