Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Красные карточки,К2 Красные карточки,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Вбрасывания,К2 Вбрасывания,К1 Точность передач,К2 Точность передач
21.05.2017 19:00,Арсенал,Эвертон,3,1,50,50,17,22,9,7,3,8,5,7,17,9,4,6,0,1,6,6,10,15,1.0,0.0,2.0,4.0,441.0,418.0,18.0,9.0,,,,
21.05.2017 19:00,Бёрнли,Вест Хэм,1,2,44,56,9,14,1,4,7,5,1,5,17,11,2,5,0,3,2,0,11,14,,,2.0,2.0,394.0,493.0,11.0,11.0,,,,
21.05.2017 19:00,Лестер,Борнмут,1,1,49,51,21,10,5,4,9,2,7,4,11,16,9,1,5,1,3,4,11,10,,,4.0,1.0,414.0,439.0,25.0,18.0,,,,
21.05.2017 19:00,Ливерпуль,Мидлсбро,3,0,74,26,25,9,10,3,9,3,6,3,8,14,3,3,1,0,3,7,13,8,,,0.0,1.0,751.0,261.0,11.0,17.0,,,,
21.05.2017 19:00,Манчестер Юнайтед,Кристал Пэлас,2,0,59,41,9,6,2,1,3,2,4,3,12,16,3,6,0,1,1,0,16,10,,,2.0,0.0,539.0,355.0,23.0,16.0,,,,
21.05.2017 19:00,Саутгемптон,Сток Сити,0,1,61,39,14,14,6,3,3,6,5,5,11,15,4,10,3,2,2,6,12,10,,,2.0,4.0,510.0,315.0,11.0,16.0,,,,
21.05.2017 19:00,Суонси,Вест Бромвич,2,1,66,34,12,16,2,5,6,6,4,5,10,10,7,4,1,0,4,0,8,10,,,1.0,1.0,590.0,313.0,16.0,17.0,,,,
21.05.2017 19:00,Уотфорд,Манчестер Сити,0,5,33,67,6,15,3,9,2,5,1,1,12,12,4,5,0,2,4,3,12,10,,,1.0,0.0,294.0,618.0,20.0,18.0,,,,
21.05.2017 19:00,Халл,Тоттенхэм,1,7,35,65,10,19,4,14,4,3,2,2,5,17,2,3,2,0,7,3,14,5,,,,,310.0,601.0,19.0,14.0,,,,
21.05.2017 19:00,Челси,Сандерленд,5,1,71,29,28,7,8,3,12,2,8,2,16,8,11,1,0,1,2,3,8,15,,,1.0,1.0,640.0,255.0,16.0,16.0,,,,
18.05.2017 23:45,Лестер,Тоттенхэм,1,6,37,63,12,26,5,12,3,11,4,3,10,15,4,4,4,2,6,4,11,8,,,3.0,1.0,321.0,561.0,22.0,17.0,,,,
17.05.2017 23:45,Саутгемптон,Манчестер Юнайтед,0,0,53,47,17,11,6,1,7,8,4,2,13,6,7,3,0,3,1,6,7,10,,,2.0,1.0,483.0,449.0,12.0,10.0,15.0,21.0,,
17.05.2017 00:00,Манчестер Сити,Вест Бромвич,3,1,71,29,21,5,10,2,9,2,2,1,12,10,7,1,2,1,1,7,8,11,,,1.0,2.0,686.0,282.0,24.0,11.0,,,,
16.05.2017 23:45,Арсенал,Сандерленд,2,0,63,37,36,6,13,2,10,2,13,2,13,17,17,3,2,3,2,11,15,10,,,4.0,2.0,545.0,332.0,9.0,16.0,,,,
16.05.2017 00:00,Челси,Уотфорд,4,3,47,53,24,9,9,3,7,5,8,1,14,10,8,3,4,2,0,5,7,12,0.0,1.0,2.0,6.0,456.0,522.0,32.0,12.0,,,,
14.05.2017 20:30,Тоттенхэм,Манчестер Юнайтед,2,1,60,40,14,8,7,2,5,6,2,0,15,17,8,3,2,1,1,5,14,15,,,1.0,2.0,530.0,356.0,18.0,17.0,26.0,33.0,,
14.05.2017 18:15,Вест Хэм,Ливерпуль,0,4,33,67,10,26,3,11,6,14,1,1,13,8,4,6,3,3,7,3,5,10,,,2.0,0.0,286.0,595.0,13.0,15.0,,,,
14.05.2017 16:00,Кристал Пэлас,Халл,4,0,30,70,12,9,4,0,7,6,1,3,14,16,3,7,3,1,0,0,13,14,,,3.0,5.0,200.0,487.0,19.0,13.0,,,,
13.05.2017 21:30,Сток Сити,Арсенал,1,4,33,67,10,10,4,6,3,3,3,1,8,16,7,6,3,2,2,3,13,7,,,1.0,2.0,287.0,607.0,21.0,16.0,24.0,19.0,,
13.05.2017 19:00,Борнмут,Бёрнли,2,1,55,45,18,14,6,3,6,7,6,4,16,9,7,1,3,5,2,4,6,11,,,0.0,1.0,488.0,397.0,11.0,21.0,,,,
