Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Желтые карточки,К2 Желтые карточки,К1 Красные карточки,К2 Красные карточки,К1 Вбрасывания,К2 Вбрасывания
13.05.2018 19:00,Бёрнли,Борнмут,1,2,52,48,12,16,4,5,4,5,4,6,8,17,7,8,3,1,3,3,14,9,416,401,16,10,58.0,45.0,45.0,31.0,,,,,,
13.05.2018 19:00,Вест Хэм,Эвертон,3,1,57,43,15,14,4,7,5,3,6,4,14,13,6,6,4,1,6,1,10,13,479,365,11,10,77.0,76.0,44.0,33.0,0.0,1.0,,,,
13.05.2018 19:00,Кристал Пэлас,Вест Бромвич,2,0,59,41,11,7,5,1,4,6,2,0,12,11,4,2,1,1,1,3,10,11,560,379,28,34,107.0,76.0,85.0,57.0,2.0,3.0,,,,
13.05.2018 19:00,Ливерпуль,Брайтон,4,0,72,28,22,2,11,1,5,0,6,1,6,4,7,3,1,1,1,7,3,6,737,275,10,17,115.0,54.0,87.0,26.0,,,,,,
13.05.2018 19:00,Манчестер Юнайтед,Уотфорд,1,0,51,49,7,7,1,3,4,3,2,1,11,11,6,5,5,1,3,0,6,11,460,429,25,20,95.0,107.0,78.0,80.0,4.0,0.0,,,,
13.05.2018 19:00,Ньюкасл Юнайтед,Челси,3,0,42,58,16,6,6,2,5,3,5,1,12,11,4,2,0,2,2,3,11,10,406,569,19,18,80.0,105.0,70.0,67.0,0.0,1.0,,,,
13.05.2018 19:00,Саутгемптон,Манчестер Сити,0,1,30,70,8,13,3,2,5,5,0,6,12,13,1,12,4,2,1,3,8,10,259,583,24,13,98.0,104.0,67.0,93.0,3.0,2.0,,,,
13.05.2018 19:00,Суонси,Сток Сити,1,2,58,42,24,8,11,5,4,2,9,1,16,11,6,0,1,5,3,10,12,9,544,414,16,21,114.0,84.0,119.0,33.0,1.0,2.0,,,,
13.05.2018 19:00,Тоттенхэм,Лестер,5,4,65,35,14,16,6,9,5,6,3,1,17,11,4,4,2,4,5,2,9,13,480,265,20,23,72.0,66.0,52.0,49.0,1.0,2.0,,,,
13.05.2018 19:00,Хаддерсфилд,Арсенал,0,1,44,56,18,9,3,4,10,3,5,2,10,12,7,4,0,2,3,3,11,7,399,519,18,11,87.0,71.0,43.0,44.0,1.0,0.0,,,,
