Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Завершено передач,К2 Завершено передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки
12.05.2019 19:00,Бёрнли,Арсенал,1,3,40.0,60.0,14.0,17.0,5.0,6.0,6.0,4.0,3.0,7.0,3.0,15.0,4.0,5.0,4.0,0.0,3.0,4.0,11.0,3.0,5.0,1.0,341.0,533.0,265.0,461.0,15.0,11.0,104.0,94.0,53.0,61.0,,
12.05.2019 19:00,Брайтон,Манчестер Сити,1,4,23.0,77.0,6.0,20.0,2.0,9.0,3.0,3.0,1.0,8.0,9.0,13.0,2.0,6.0,1.0,1.0,5.0,1.0,12.0,8.0,,,245.0,796.0,176.0,734.0,17.0,15.0,63.0,165.0,11.0,86.0,,
12.05.2019 19:00,Кристал Пэлас,Борнмут,5,3,45.0,55.0,17.0,16.0,8.0,8.0,7.0,6.0,2.0,2.0,9.0,16.0,4.0,4.0,4.0,1.0,5.0,3.0,11.0,8.0,3.0,0.0,429.0,517.0,341.0,425.0,16.0,19.0,93.0,104.0,46.0,68.0,,
12.05.2019 19:00,Лестер,Челси,0,0,47.0,53.0,9.0,14.0,3.0,4.0,4.0,7.0,2.0,3.0,8.0,9.0,4.0,5.0,1.0,2.0,4.0,3.0,9.0,8.0,0.0,1.0,470.0,533.0,407.0,464.0,16.0,12.0,82.0,125.0,52.0,53.0,,
12.05.2019 19:00,Ливерпуль,Вулверхэмптон,2,0,59.0,41.0,13.0,7.0,5.0,2.0,5.0,4.0,3.0,1.0,12.0,6.0,4.0,1.0,3.0,1.0,2.0,3.0,3.0,11.0,0.0,2.0,603.0,427.0,508.0,323.0,18.0,13.0,137.0,95.0,36.0,35.0,,
12.05.2019 19:00,Манчестер Юнайтед,Кардифф,0,2,73.0,27.0,26.0,13.0,10.0,4.0,10.0,6.0,6.0,3.0,6.0,12.0,11.0,2.0,3.0,0.0,2.0,10.0,9.0,6.0,3.0,3.0,620.0,223.0,527.0,131.0,16.0,16.0,145.0,77.0,79.0,37.0,,
12.05.2019 19:00,Саутгемптон,Хаддерсфилд,1,1,54.0,46.0,10.0,10.0,3.0,3.0,3.0,4.0,4.0,3.0,8.0,10.0,4.0,3.0,1.0,2.0,2.0,2.0,8.0,6.0,0.0,1.0,447.0,388.0,330.0,252.0,13.0,25.0,143.0,109.0,56.0,33.0,,
12.05.2019 19:00,Тоттенхэм,Эвертон,2,2,55.0,45.0,11.0,17.0,3.0,9.0,5.0,4.0,3.0,4.0,14.0,12.0,7.0,4.0,2.0,1.0,7.0,1.0,10.0,13.0,0.0,2.0,543.0,436.0,449.0,357.0,21.0,19.0,120.0,122.0,51.0,37.0,,
12.05.2019 19:00,Уотфорд,Вест Хэм,1,4,48.0,52.0,17.0,16.0,8.0,9.0,2.0,5.0,7.0,2.0,11.0,12.0,7.0,2.0,4.0,1.0,5.0,7.0,10.0,10.0,1.0,0.0,419.0,460.0,338.0,400.0,18.0,15.0,103.0,101.0,67.0,50.0,1.0,0.0
12.05.2019 19:00,Фулхэм,Ньюкасл Юнайтед,0,4,68.0,32.0,16.0,13.0,2.0,6.0,8.0,6.0,6.0,1.0,7.0,6.0,5.0,5.0,1.0,1.0,2.0,2.0,6.0,8.0,1.0,0.0,765.0,358.0,690.0,282.0,12.0,15.0,150.0,67.0,81.0,22.0,,
07.05.2019 00:00,Манчестер Сити,Лестер,1,0,61.0,39.0,19.0,7.0,5.0,2.0,10.0,2.0,4.0,3.0,5.0,13.0,11.0,0.0,2.0,0.0,2.0,4.0,12.0,5.0,3.0,2.0,820.0,607.0,636.0,416.0,14.0,22.0,182.0,67.0,89.0,27.0,,
05.05.2019 20:30,Арсенал,Брайтон,1,1,71.0,29.0,20.0,11.0,8.0,5.0,5.0,4.0,7.0,2.0,15.0,10.0,16.0,3.0,2.0,4.0,4.0,7.0,9.0,14.0,5.0,2.0,564.0,235.0,488.0,172.0,11.0,23.0,128.0,60.0,102.0,40.0,,
