Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки,К1 Вбрасывания,К2 Вбрасывания,К1 Завершено передач,К2 Завершено передач
26.07.2020 20:00,Арсенал,Уотфорд,3,2,51.0,49.0,13.0,19.0,5.0,6.0,4.0,7.0,4.0,6.0,14.0,10.0,4.0,8.0,1.0,3.0,4.0,2.0,9.0,12.0,3.0,3.0,442.0,398.0,14.0,7.0,77.0,111.0,43.0,75.0,,,,,,
26.07.2020 20:00,Бёрнли,Брайтон,1,2,54.0,46.0,13.0,15.0,2.0,4.0,9.0,6.0,2.0,5.0,13.0,13.0,6.0,7.0,3.0,2.0,2.0,1.0,11.0,11.0,3.0,0.0,378.0,334.0,20.0,6.0,113.0,73.0,60.0,43.0,,,,,,
26.07.2020 20:00,Вест Хэм,Астон Вилла,1,1,62.0,38.0,10.0,13.0,1.0,4.0,6.0,6.0,3.0,3.0,14.0,16.0,0.0,7.0,0.0,1.0,3.0,0.0,16.0,13.0,2.0,1.0,480.0,277.0,15.0,13.0,88.0,91.0,43.0,43.0,,,,,,
26.07.2020 20:00,Кристал Пэлас,Тоттенхэм,1,1,47.0,53.0,13.0,7.0,2.0,2.0,9.0,3.0,2.0,2.0,13.0,12.0,7.0,2.0,1.0,0.0,1.0,1.0,11.0,13.0,3.0,2.0,422.0,489.0,22.0,26.0,112.0,121.0,52.0,26.0,,,,,,
26.07.2020 20:00,Лестер,Манчестер Юнайтед,0,2,46.0,54.0,14.0,7.0,3.0,3.0,7.0,3.0,4.0,1.0,13.0,13.0,3.0,3.0,2.0,2.0,1.0,3.0,12.0,11.0,1.0,5.0,425.0,518.0,23.0,21.0,97.0,116.0,42.0,38.0,1.0,0.0,,,,
26.07.2020 20:00,Манчестер Сити,Норвич,5,0,73.0,27.0,31.0,5.0,10.0,4.0,12.0,1.0,9.0,0.0,6.0,7.0,9.0,0.0,0.0,2.0,4.0,5.0,7.0,4.0,1.0,1.0,722.0,268.0,12.0,14.0,164.0,39.0,119.0,15.0,,,,,,
26.07.2020 20:00,Ньюкасл Юнайтед,Ливерпуль,1,3,26.0,74.0,3.0,14.0,2.0,6.0,1.0,5.0,0.0,3.0,6.0,13.0,2.0,4.0,3.0,1.0,3.0,1.0,11.0,5.0,,,267.0,792.0,23.0,12.0,50.0,179.0,17.0,69.0,,,,,,
26.07.2020 20:00,Саутгемптон,Шеффилд Юнайтед,3,1,73.0,27.0,13.0,5.0,4.0,3.0,3.0,0.0,6.0,2.0,17.0,11.0,9.0,1.0,2.0,2.0,2.0,1.0,9.0,16.0,0.0,1.0,684.0,260.0,11.0,12.0,154.0,68.0,61.0,23.0,,,,,,
26.07.2020 20:00,Челси,Вулверхэмптон,2,0,63.0,37.0,11.0,5.0,3.0,1.0,5.0,1.0,3.0,3.0,17.0,13.0,3.0,3.0,3.0,1.0,1.0,1.0,10.0,16.0,2.0,3.0,629.0,370.0,30.0,22.0,140.0,117.0,50.0,40.0,,,,,,
26.07.2020 20:00,Эвертон,Борнмут,1,3,70.0,30.0,13.0,13.0,5.0,7.0,5.0,2.0,3.0,4.0,9.0,11.0,2.0,5.0,0.0,1.0,4.0,4.0,11.0,9.0,1.0,0.0,687.0,282.0,26.0,18.0,131.0,101.0,56.0,60.0,,,,,,
