Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Вбрасывания,К2 Вбрасывания,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Завершено передач,К2 Завершено передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки
22.05.2022 20:00,Арсенал,Эвертон,5,1,74.0,26.0,26.0,6.0,9.0,2.0,8.0,3.0,9.0,1.0,8.0,9.0,12.0,2.0,2.0,0.0,12.0,13.0,1.0,4.0,8.0,9.0,0.0,1.0,647.0,234.0,583.0,151.0,12.0,21.0,136.0,55.0,89.0,25.0,,
22.05.2022 20:00,Бёрнли,Ньюкасл Юнайтед,1,2,51.0,49.0,12.0,8.0,5.0,6.0,4.0,2.0,3.0,0.0,9.0,11.0,8.0,2.0,5.0,0.0,35.0,22.0,4.0,4.0,8.0,9.0,1.0,0.0,344.0,338.0,238.0,240.0,11.0,22.0,116.0,80.0,57.0,31.0,,
22.05.2022 20:00,Брайтон,Вест Хэм,3,1,50.0,50.0,18.0,7.0,7.0,2.0,4.0,2.0,7.0,3.0,8.0,8.0,5.0,6.0,0.0,0.0,13.0,20.0,1.0,4.0,9.0,9.0,1.0,1.0,489.0,480.0,399.0,377.0,12.0,14.0,100.0,88.0,54.0,62.0,,
22.05.2022 20:00,Брентфорд,Лидс,1,2,49.0,51.0,14.0,14.0,5.0,6.0,7.0,6.0,2.0,2.0,15.0,9.0,3.0,2.0,0.0,2.0,19.0,20.0,4.0,4.0,11.0,13.0,4.0,1.0,412.0,438.0,318.0,317.0,12.0,10.0,105.0,109.0,31.0,46.0,1.0,0.0
22.05.2022 20:00,Кристал Пэлас,Манчестер Юнайтед,1,0,38.0,62.0,6.0,10.0,3.0,4.0,3.0,2.0,0.0,4.0,22.0,11.0,3.0,6.0,2.0,4.0,22.0,27.0,4.0,2.0,12.0,22.0,2.0,4.0,327.0,526.0,233.0,426.0,8.0,17.0,89.0,113.0,40.0,45.0,,
22.05.2022 20:00,Лестер,Саутгемптон,4,1,51.0,49.0,12.0,7.0,6.0,2.0,4.0,5.0,2.0,0.0,8.0,9.0,3.0,3.0,1.0,3.0,19.0,21.0,1.0,2.0,10.0,5.0,0.0,1.0,448.0,425.0,350.0,326.0,20.0,17.0,83.0,105.0,31.0,45.0,,
22.05.2022 20:00,Ливерпуль,Вулверхэмптон,3,1,63.0,37.0,29.0,7.0,8.0,5.0,7.0,2.0,14.0,0.0,4.0,9.0,5.0,3.0,3.0,1.0,25.0,15.0,4.0,5.0,6.0,3.0,1.0,0.0,669.0,400.0,590.0,319.0,21.0,18.0,132.0,65.0,63.0,21.0,,
22.05.2022 20:00,Манчестер Сити,Астон Вилла,3,2,72.0,28.0,24.0,4.0,5.0,2.0,10.0,1.0,9.0,1.0,10.0,6.0,13.0,1.0,1.0,2.0,30.0,14.0,0.0,2.0,5.0,11.0,0.0,2.0,601.0,243.0,518.0,163.0,11.0,17.0,151.0,49.0,107.0,18.0,,
22.05.2022 20:00,Норвич,Тоттенхэм,0,5,40.0,60.0,9.0,19.0,0.0,13.0,5.0,4.0,4.0,2.0,11.0,12.0,3.0,2.0,0.0,4.0,17.0,16.0,8.0,0.0,13.0,7.0,3.0,1.0,402.0,614.0,307.0,537.0,14.0,8.0,78.0,104.0,35.0,39.0,,
22.05.2022 20:00,Челси,Уотфорд,2,1,72.0,28.0,19.0,8.0,8.0,3.0,6.0,2.0,5.0,3.0,11.0,8.0,3.0,3.0,0.0,2.0,20.0,11.0,2.0,6.0,9.0,9.0,,,734.0,281.0,658.0,202.0,32.0,25.0,147.0,63.0,66.0,32.0,,
