Дата,Команда 1,Команда 2,К1 Счет,К2 Счет
28.05.2023 20:30,Арсенал,Вулверхэмптон,5,0
28.05.2023 20:30,Астон Вилла,Брайтон,2,1
28.05.2023 20:30,Брентфорд,Манчестер Сити,1,0
28.05.2023 20:30,Кристал Пэлас,Ноттингем Форест,1,1
28.05.2023 20:30,Лестер,Вест Хэм,2,1
28.05.2023 20:30,Лидс,Тоттенхэм,1,4
28.05.2023 20:30,Манчестер Юнайтед,Фулхэм,2,1
28.05.2023 20:30,Саутгемптон,Ливерпуль,4,4
28.05.2023 20:30,Челси,Ньюкасл Юнайтед,1,1
28.05.2023 20:30,Эвертон,Борнмут,1,0
26.05.2023 00:00,Манчестер Юнайтед,Челси,4,1
25.05.2023 00:00,Брайтон,Манчестер Сити,1,1
23.05.2023 00:00,Ньюкасл Юнайтед,Лестер,0,0
21.05.2023 20:00,Манчестер Сити,Челси,1,0
21.05.2023 18:00,Брайтон,Саутгемптон,3,1
21.05.2023 17:30,Вест Хэм,Лидс,3,1
20.05.2023 21:30,Ноттингем Форест,Арсенал,1,0
20.05.2023 19:00,Борнмут,Манчестер Юнайтед,0,1
20.05.2023 19:00,Вулверхэмптон,Эвертон,1,1
20.05.2023 19:00,Ливерпуль,Астон Вилла,1,1
20.05.2023 19:00,Фулхэм,Кристал Пэлас,2,2
20.05.2023 16:30,Тоттенхэм,Брентфорд,1,3
18.05.2023 23:30,Ньюкасл Юнайтед,Брайтон,4,1
16.05.2023 00:00,Лестер,Ливерпуль,0,3
14.05.2023 20:30,Арсенал,Брайтон,0,3
14.05.2023 18:00,Брентфорд,Вест Хэм,2,0
14.05.2023 18:00,Эвертон,Манчестер Сити,0,3
13.05.2023 19:00,Астон Вилла,Тоттенхэм,2,1
13.05.2023 19:00,Кристал Пэлас,Борнмут,2,0
13.05.2023 19:00,Манчестер Юнайтед,Вулверхэмптон,2,0
13.05.2023 19:00,Саутгемптон,Фулхэм,0,2
13.05.2023 19:00,Челси,Ноттингем Форест,2,2
13.05.2023 16:30,Лидс,Ньюкасл Юнайтед,2,2
09.05.2023 00:00,Ноттингем Форест,Саутгемптон,4,3
08.05.2023 21:30,Брайтон,Эвертон,1,5
08.05.2023 19:00,Фулхэм,Лестер,5,3
07.05.2023 23:00,Вест Хэм,Манчестер Юнайтед,1,0
07.05.2023 20:30,Ньюкасл Юнайтед,Арсенал,0,2
06.05.2023 21:30,Ливерпуль,Брентфорд,1,0
06.05.2023 19:00,Борнмут,Челси,1,3
06.05.2023 19:00,Вулверхэмптон,Астон Вилла,1,0
06.05.2023 19:00,Манчестер Сити,Лидс,2,1
06.05.2023 19:00,Тоттенхэм,Кристал Пэлас,1,0
05.05.2023 00:00,Брайтон,Манчестер Юнайтед,1,0
04.05.2023 00:00,Ливерпуль,Фулхэм,1,0
04.05.2023 00:00,Манчестер Сити,Вест Хэм,3,0
03.05.2023 00:00,Арсенал,Челси,3,1
02.05.2023 00:00,Лестер,Эвертон,2,2
30.04.2023 20:30,Ливерпуль,Тоттенхэм,4,3
30.04.2023 18:00,Борнмут,Лидс,4,1
30.04.2023 18:00,Манчестер Юнайтед,Астон Вилла,1,0
30.04.2023 18:00,Ньюкасл Юнайтед,Саутгемптон,3,1
30.04.2023 18:00,Фулхэм,Манчестер Сити,1,2
29.04.2023 19:00,Брайтон,Вулверхэмптон,6,0
29.04.2023 19:00,Брентфорд,Ноттингем Форест,2,1
29.04.2023 16:30,Кристал Пэлас,Вест Хэм,4,3
28.04.2023 00:15,Тоттенхэм,Манчестер Юнайтед,2,2
27.04.2023 23:45,Саутгемптон,Борнмут,0,1
27.04.2023 23:45,Эвертон,Ньюкасл Юнайтед,1,4
27.04.2023 00:00,Манчестер Сити,Арсенал,4,1
26.04.2023 23:45,Вест Хэм,Ливерпуль,1,2
26.04.2023 23:45,Челси,Брентфорд,0,2
26.04.2023 23:30,Ноттингем Форест,Брайтон,3,1
26.04.2023 00:00,Лидс,Лестер,1,1
25.04.2023 23:45,Астон Вилла,Фулхэм,1,0
25.04.2023 23:30,Вулверхэмптон,Кристал Пэлас,2,0
23.04.2023 18:00,Борнмут,Вест Хэм,0,4
23.04.2023 18:00,Ньюкасл Юнайтед,Тоттенхэм,6,1
22.04.2023 19:00,Брентфорд,Астон Вилла,1,1
22.04.2023 19:00,Кристал Пэлас,Эвертон,0,0
22.04.2023 19:00,Лестер,Вулверхэмптон,2,1
22.04.2023 19:00,Ливерпуль,Ноттингем Форест,3,2
22.04.2023 16:30,Фулхэм,Лидс,2,1
22.04.2023 00:00,Арсенал,Саутгемптон,3,3
18.04.2023 00:00,Лидс,Ливерпуль,1,6
16.04.2023 20:30,Ноттингем Форест,Манчестер Юнайтед,0,2
16.04.2023 18:00,Вест Хэм,Арсенал,2,2
15.04.2023 21:30,Манчестер Сити,Лестер,3,1
15.04.2023 19:00,Вулверхэмптон,Брентфорд,2,0
15.04.2023 19:00,Саутгемптон,Кристал Пэлас,0,2
15.04.2023 19:00,Тоттенхэм,Борнмут,2,3
15.04.2023 19:00,Челси,Брайтон,1,2
15.04.2023 19:00,Эвертон,Фулхэм,1,3
15.04.2023 16:30,Астон Вилла,Ньюкасл Юнайтед,3,0
09.04.2023 20:30,Ливерпуль,Арсенал,2,2
09.04.2023 18:00,Лидс,Кристал Пэлас,1,5
08.04.2023 21:30,Саутгемптон,Манчестер Сити,1,4
08.04.2023 19:00,Астон Вилла,Ноттингем Форест,2,0
08.04.2023 19:00,Брентфорд,Ньюкасл Юнайтед,1,2
08.04.2023 19:00,Вулверхэмптон,Челси,1,0
08.04.2023 19:00,Лестер,Борнмут,0,1
08.04.2023 19:00,Тоттенхэм,Брайтон,2,1
08.04.2023 19:00,Фулхэм,Вест Хэм,0,1
08.04.2023 16:30,Манчестер Юнайтед,Эвертон,2,0
06.04.2023 00:00,Вест Хэм,Ньюкасл Юнайтед,1,5
